work,book,line,sentence_id,verb_lemma,voice,mood,tense,sbj,obj,pnom,obliques,n_args
Iliad,1,74,2274140,μυθέομαι,medio-passive,n,a,ἐγώ,μῆνις,,,2
Iliad,1,76,2274141,εἴρω2,active,i,f,ἐγώ,σύ,,,2
Iliad,1,76,2274142,συντίθημι,middle,m,a,,,,,0
Iliad,1,76,2274142a,ὄμνυμι,active,m,a,,ἐγώ,,,1
Iliad,1,77,2274142a,ἀρήγω,active,n,f,,ἐγώ,,:d:ἔπος;:d:χείρ,3
Iliad,1,78,2274143,οἴομαι,medio-passive,i,p,,,,,0
Iliad,1,78,2274143,χολόω,active,n,f,ἀνήρ,,,,1
Iliad,1,79,2274143,κρατέω,active,i,p,ὅς,Ἀργεῖος,,:a:μέγας,3
Iliad,1,79,2274143,πείθω,medio-passive,i,p,Ἀχαιός,ἕ,,,2
Iliad,1,80,2274144,χώομαι,middle,s,a,,ἀνήρ,,,1
Iliad,1,81,2274145,καταπέσσω,active,s,a,,χόλος,,,1
Iliad,1,82,2274145,ἔχω,active,i,p,,κότος,,ἐν:d:στῆθος,2
Iliad,1,82,2274145,τελέω,active,s,a,,,,,0
Iliad,1,83,2274146,φράζω,middle,m,a,σύ,,,,1
Iliad,1,83,2274146,σώζω,active,s,a,,ἐγώ,,,1
Iliad,1,84,2274147,ἀπαμείβομαι,medio-passive,p,p,,,,,0
Iliad,1,84,2274147,πρόσφημι,active,i,a,Ἀχιλλεύς,ὁ,,,2
Iliad,1,85,2274148,θαρσέω,active,p,a,,,,,0
Iliad,1,85,2274148,εἶπον,active,m,a,,θεοπρόπιον,,,1
Iliad,1,85,2274148,οἶδα,active,i,r,,ὅς,,,1
Iliad,1,87,2274149,εὔχομαι,medio-passive,p,p,,ὅς,,,1
Iliad,1,87,2274149,ἀναφαίνω,active,i,p,σύ,Δαναοί|θεοπροπία,,,3
Iliad,1,88,2274149,ζάω,active,p,p,,,,,0
Iliad,1,88,2274149,δέρκομαι,medio-passive,p,p,,,,ἐπί:d:χθών,1
Iliad,1,89,2274149,ἐπιφέρω,active,i,f,τις|ἐγώ,σύ|χείρ,,παρά:d:ναῦς,5
Iliad,1,90,2274149,εἶπον,active,s,a,,Ἀγαμέμνων,,,1
Iliad,1,91,2274149,εὔχομαι,medio-passive,i,p,ὅς,,,,1
Iliad,1,91,2274149,εἰμί,active,n,p,,,ἄριστος,,1
Iliad,1,92,2274150,θαρσέω,active,i,a,,,,,0
Iliad,1,92,2274150a,αὐδάω,active,i,i,,,,,0
Iliad,1,93,2274151,ἐπιμέμφομαι,medio-passive,i,p,ὁ,,,,1
Iliad,1,94,2274151,ἀτιμάω,active,i,a,,ὅς,,,1
Iliad,1,95,2274151a,ἀπολύω,active,i,a,,θυγάτηρ,,,1
Iliad,1,95,2274151a,ἀποδέχομαι,middle,i,a,,ἄποινα,,,1
