lemma,frequency,hdbscan_cluster,leiden_cluster
θηρατήρ,8,-1,20
αἰόλος,8,-1,31
πῆχυς,8,-1,42
Χάρις,8,-1,28
κυδαίνω,8,-1,25
ἀγκών,8,-1,3
λάξ,8,-1,16
Ἡρακλέης,8,-1,34
ἐρεβεννός,8,-1,12
εὐφραίνω,8,-1,29
φηγός,8,-1,41
μυκάομαι,8,-1,19
ἐπιτάρροθος,8,-1,9
ἀκήριος,8,-1,38
ὑπέκ,8,-1,4
ἄσχετος,8,-1,46
Πήδασος,8,41,34
ἕκτωρ,8,-1,50
Ἑκάβη,8,-1,47
ἀφικάνω,8,-1,40
ἀμφιμάχομαι,8,-1,1
παραπείθω,8,-1,11
εὐφρονέων,8,25,5
δεῦτε,8,-1,29
τῆμος,8,23,35
κτυπέω,8,-1,12
πολυπῖδαξ,8,-1,20
τανηλεγής,8,-1,36
ἐμπρήθω,8,-1,22
κήλεος,8,-1,22
Ἀγέλαος,8,-1,2
πουλυβότειρα,8,-1,19
εὔτροχος,8,-1,4
Ὑπερίων,8,-1,35
φύλαξ,8,-1,52
θάλλω,8,-1,20
σβέννυμι,8,-1,22
πρόδομος,8,-1,52
ῥίζα,8,-1,31
ἀναρπάζω,8,1,12
ἄττα,8,-1,11
περιδείδω,8,-1,15
ἀσκηθής,8,-1,25
μω~νυξ,8,-1,4
ὀχέω,8,-1,23
ὑψόθεν,8,24,12
ταρφύς,8,-1,42
ἀνατρέχω,8,-1,19
ἐφίζω,8,-1,44
λιαρός,8,-1,44
ἀνδρόμεος,8,-1,32
κακόω,8,-1,25
ὑβρίζω,8,9,38
ἀτέμβω,8,-1,45
νίσσομαι,8,-1,33
θεσπιδαής,8,-1,22
ἀρή,8,-1,1
γυμνόω,8,-1,3
ἱέραξ,8,-1,12
περιμήκης,8,-1,19
ἴχνιον,8,-1,39
ἤια,8,-1,32
ἀσφαλής,8,-1,17
ἄνευ,8,-1,31
κυανοχαίτης,8,-1,11
ἀναγιγνώσκω,8,-1,47
Πανθοίδης,8,10,2
λουτρόν,8,-1,44
βέλτερος,8,-1,8
φυτόν,8,-1,31
ἐρεύγομαι,8,-1,18
ἀεικίζω,8,-1,38
σχεδόθεν,8,24,14
κόπρος,8,-1,20
λιμός,8,-1,37
περάω2,8,-1,40
ὦνος,8,-1,34
ἀκηδής,8,-1,44
συφορβός,8,-1,52
τηλεδαπός,8,-1,46
δύσμορος,8,-1,46
ἀριφραδής,8,40,9
πρόχοος,8,44,7
ἐπικλώθω,8,-1,10
χέρνιψ,8,44,7
νήποινος,8,-1,33
φιλήρετμος,8,12,51
ἐπηετανός,8,-1,31
ἁλμυρός,8,-1,24
μοχλός,8,-1,37
Σειρήν,8,-1,47
Θεοκλύμενος,8,-1,2
Πείραιος,8,-1,2
οὐλή,8,-1,48
διίστημι,7,-1,50
ζάθεος,7,41,34
ἀργός,7,-1,20
κότος,7,-1,11
θεοπροπία,7,16,43
οἴκοι,7,-1,26
εὐτείχεος,7,39,13
ἱλάσκομαι,7,-1,13
κώπη,7,-1,3
λωίων,7,-1,33
ἀγορητής,7,-1,2
μέλι,7,-1,32
τελήεις,7,-1,34
ὀτρηρός,7,-1,32
ἀναδύνω,7,-1,18
ἑκατηβόλος,7,15,24
ἐπασσύτερος,7,-1,2
κλισίηθεν,7,-1,2
Αἰθίοψ,7,-1,34
εὔζωνος,7,-1,42
οὐλοχύται,7,-1,7
προβάλλω,7,-1,12
ἐπάρχω,7,45,32
τέκμαρ,7,-1,36
ἀγνοέω,7,-1,5
δολομήτης,7,4,10
ἀνεκτός,7,-1,23
οἰνοχοέω,7,45,32
νέκταρ,7,-1,32
ποιπνύω,7,-1,1
καθεύδω,7,-1,52
ἀμφιχέω,7,-1,16
Ἀτρυτώνη,7,39,29
ἀγκυλομήτης,7,4,10
χατίζω,7,-1,43
πέσσω,7,-1,31
ἔπειμι,7,26,39
ἀνιάω,7,-1,37
ἀσχαλάω,7,-1,11
κενός,7,-1,46
ἀρίζηλος,7,-1,14
τοσοῦτος,7,-1,10
αἰειγενέτης,7,-1,11
μῶλος,7,-1,9
περιίστημι,7,-1,20
κατακαίω,7,21,26
ἀγάλλω,7,-1,18
αἰπόλιον,7,-1,20
Βοιωτός,7,-1,2
Ἀσκάλαφος,7,-1,2
παρθένος,7,-1,2
Μενεσθεύς,7,-1,2
Σπάρτη,7,-1,34
Ἀλφειός,7,41,34
Μέγης,7,36,2
Φυλείδης,7,36,2
Ἡράκλειος,7,-1,34
Ἐφύρα,7,-1,34
οἰκέω,7,-1,34
ἀλαπαδνός,7,-1,45
ὁπλότερος,7,-1,10
Πολυποίτης,7,36,2
ἀλίαστος,7,-1,15
κνημός,7,-1,20
Ἱππόθοος,7,37,2
Φόρκυς,7,37,2
νήιος,7,-1,3
ὑπερβασία,7,-1,38
Ἀντηνορίδης,7,-1,2
ἐφέζομαι,7,-1,43
τήκω,7,-1,37
τανύπεπλος,7,-1,6
λαπάρα,7,-1,3
φάλος,7,42,7
ἠπεροπεύω,7,-1,37
ὑποστρέφω,7,-1,17
μητίομαι,7,-1,33
προκαλέω,7,27,1
ἔραμαι,7,-1,47
τρητός,7,-1,52
σκύζομαι,7,16,43
ἀτέλεστος,7,-1,52
ὠμός,7,-1,22
διατρίβω,7,-1,13
ὀιστεύω,7,17,42
βόειος,7,42,7
ἀγελείη,7,-1,6
γύψ,7,-1,38
γηθόσυνος,7,-1,15
Χρομίος,7,37,2
γέφυρα,7,-1,4
ἄχνη,7,-1,12
γάλα,7,-1,31
μηκάομαι,7,-1,19
στόνος,7,-1,1
ἀπορούω,7,-1,2
ἀλέω,7,-1,21
δαίδαλος,7,-1,7
κλόνος,7,-1,1
πίσυνος,7,-1,45
φάτνη,7,18,4
κρατερῶνυξ,7,-1,4
καταβάλλω,7,-1,31
ἄατος,7,-1,15
οἰκεύς,7,-1,14
εὔπεπλος,7,-1,6
εὔκυκλος,7,-1,7
ὑμός,7,-1,13
τηλεκλειτός,7,-1,2
πρόσειμι2,7,-1,39
λιγυρός,7,-1,12
κυδοιμός,7,-1,12
προρέω,7,-1,30
ἐγχρίμπτω,7,-1,41
μόρσιμος,7,-1,27
ἄκρον,7,-1,41
τρήρων,7,-1,12
ἵππειος,7,-1,4
τροχός,7,-1,41
ὁμοκλή,7,-1,15
Βελλεροφόντης,7,-1,34
παραλέγω,7,-1,11
ἔνδοθεν,7,0,46
βλώσκω,7,-1,48
ἁμός,7,-1,13
ἀγλαία,7,-1,16
συνάντομαι,7,-1,11
ἀμφαδόν,7,-1,29
πτύξ,7,-1,30
φυλακή,7,-1,35
δόρπος,7,-1,35
μεταφωνέω,7,31,5
Τροίανδε,7,-1,26
χωρίς,7,-1,52
δεῖπνος,7,-1,44
Θηβαῖος,7,7,27
ὀρυκτός,7,-1,41
θρόνον,7,-1,52
ʼὀδυσσεύς,7,-1,5
διαπρύσιος,7,-1,45
Μελάνιππος,7,37,2
ὑποδύομαι,7,-1,50
κατόπισθεν,7,-1,14
ῥιπή,7,-1,12
Ἔρεβος,7,-1,27
αἰπός,7,-1,13
γένειον,7,-1,5
πυρά,7,-1,22
σελήνη,7,-1,30
φύζα,7,-1,15
βασίλειος,7,-1,10
Ἀχαιικός,7,-1,40
ἐπήρατος,7,-1,31
ἐχθρός,7,-1,14
ἀλιταίνω,7,-1,25
ἀμύντωρ,7,-1,1
στρωφάω,7,-1,31
ὑπερβαίνω,7,-1,41
μενεχάρμης,7,-1,2
συγχέω,7,-1,23
χιών,7,40,12
παλύνω,7,40,32
αἰτιάομαι,7,-1,38
στεροπή,7,-1,7
φῆμις,7,-1,40
ἀπόπροθεν,7,-1,46
ἐπικρατέω,7,-1,29
εὐρυμέτωπος,7,-1,20
Δόλων,7,-1,1
πέντε,7,-1,20
ὀροθύνω,7,-1,25
νειός,7,-1,20
ἀποστρέφω,7,-1,17
Ἶλος,7,-1,34
ἀπονίζω,7,-1,44
χαλκοβαρής,7,-1,3
λίς,7,-1,12
οἰκτρός,7,-1,14
στήλη,7,-1,18
βριαρός,7,42,7
καθαιρέω,7,-1,13
ποικιλομήτης,7,4,52
βιάζω,7,-1,33
ἀπαίνυμαι,7,-1,25
τυρός,7,-1,32
Πυλόνδε,7,-1,16
ἀπονίναμαι,7,-1,24
ὑπέρτερος,7,-1,22
αὖος,7,-1,31
δηριάομαι,7,-1,38
κῆτος,7,-1,12
ἀρίγνωτος,7,-1,10
Μίνως,7,22,34
ἀποπλάζω,7,-1,26
ἐυστρεφής,7,-1,3
γναθμός,7,-1,32
πέλαγος,7,-1,12
τολυπεύω,7,-1,15
τῆ,7,-1,32
κείω,7,-1,52
Λαοδάμας,7,-1,2
νεώτερος,7,-1,8
ἀπάγω,7,-1,13
πέμπτος,7,-1,46
ἔριφος,7,-1,24
πάτρα,7,24,46
πιέζω,7,-1,16
βόθρος,7,-1,12
δήμιος,7,-1,9
ἄστυδε,7,-1,41
ἀλγίων,7,-1,33
ἀνιάζω,7,-1,37
ἀράω2,7,-1,26
Ὠρίων,7,-1,30
δοιώ,7,-1,47
αὐδήεις,7,15,6
δίνη,7,-1,12
οἴκτιστος,7,34,29
ἕσπερος,7,-1,47
ἀμφαφάω,7,-1,42
κομιδή,7,-1,31
ὑπολείπω,7,-1,32
Τροίαθεν,7,-1,26
κλαυθμός,7,-1,47
τρύχω,7,-1,40
τέγος,7,13,41
σπεῖρον,7,-1,36
εὐδείελος,7,41,40
φώκη,7,-1,18
βυσσοδομεύω,7,-1,29
τρόπις,7,-1,12
ἀσπαστός,7,-1,51
πεῖσμα,7,-1,3
τοξάζομαι,7,-1,43
ἔμπλεος,7,-1,42
κλείω,7,-1,41
ἀπονοστέω,6,-1,23
Κάλχας,6,-1,9
Χρυσηίς,6,15,24
κλέπτω,6,-1,10
ʽἑκάεργος,6,-1,6
κυνώπης,6,-1,24
ἀλεγίζω,6,-1,24
οὐτιδανός,6,2,29
συμμαχέω,6,-1,36
ὑψιβρεμέτης,6,-1,1
ὑπολύω,6,15,28
χαλκοβατής,6,-1,43
γουνάζομαι,6,16,43
ὅρμος,6,-1,31
ἐπικραίνω,6,-1,29
μῆρα,6,40,22
περιφραδής,6,40,22
κερτόμιος,6,-1,5
παρεῖπον,6,-1,5
ἐπιγνάμπτω,6,-1,23
παράφημι,6,-1,5
ταράσσω,6,-1,12
βάσκω,6,-1,11
ὀρθόω,6,-1,52
ἄγχιστος,6,-1,29
ἐαρινός,6,-1,31
ἀριθμέω,6,-1,14
Εὖρος,6,-1,12
ἱδρύω,6,-1,52
ἔλεγχος,6,28,14
ἀπομόργνυμι,6,-1,37
ἐλεγχής,6,28,40
τρίζω,6,11,26
προβλής,6,-1,41
ῥωγαλέος,6,-1,37
διασεύομαι,6,-1,3
ἀνθεμόεις,6,-1,20
μυῖα,6,-1,3
ἄγγος,6,-1,32
ζώνη,6,-1,7
πηγή,6,-1,34
Ἀθηναῖος,6,-1,2
Πετεώς,6,-1,2
Καπανεύς,6,-1,2
Ἄδρηστος,6,-1,34
Εὔρυτος,6,-1,34
ἐκλανθάνω,6,-1,39
ἀγχιμαχητής,6,-1,15
Ἀμφίμαχος,6,-1,2
Δουλίχιον,6,-1,34
Κεφαλλήν,6,-1,40
Σάμος,6,41,40
Καλυδών,6,-1,34
εὔπηκτος,6,-1,41
Φυλάκη,6,-1,34
Δημήτηρ,6,-1,20
Πρωτεσίλαος,6,-1,34
αὐτοκασίγνητος,6,-1,2
ὀλοόφρων,6,-1,34
ἰατήρ,6,-1,49
Στύξ,6,-1,30
δίσκος,6,-1,42
ἐρέπτομαι,6,-1,49
Ἀξιός,6,-1,34
προκαλίζομαι,6,27,43
βίβημι,6,-1,3
ἄπιστος,6,-1,29
ἄριστον,6,-1,22
πολύδακρυς,6,-1,1
ἀργεννός,6,33,20
ὤψ,6,-1,9
δαήρ,6,-1,6
κραναός,6,41,40
ἵππουρις,6,43,7
θάμβος,6,-1,2
ἐπιδινέω,6,-1,12
φιλομμειδής,6,-1,6
ἀφραδής,6,40,38
ἀσπερχές,6,-1,38
ἐυμμελίης,6,-1,2
ἐπιπροίημι,6,-1,24
πῶμα,6,-1,28
μιαίνω,6,-1,19
παναίολος,6,-1,7
χαλκεύς,6,-1,7
ἀρωγός,6,-1,8
κίνυμαι,6,-1,25
ἠνορέη,6,-1,45
ἀνεμώλιος,6,34,8
μεταμώνιος,6,-1,5
ἐνιπή,6,-1,15
οἰμωγή,6,-1,19
περιβαίνω,6,-1,2
γνύξ,6,-1,19
γύαλον,6,-1,3
ξύλοχος,6,-1,20
κρῖ,6,-1,4
πάσσαλος,6,-1,7
φθόγγος,6,-1,47
ἀποφέρω,6,-1,18
ἀλκί,6,-1,17
μεθέπω,6,-1,4
μεθάλλομαι,6,-1,3
ἀγκάς,6,-1,10
αἴσυλος,6,34,8
ὀπίσσω,6,-1,4
λίνον,6,-1,52
κύρμα,6,-1,40
ἐλάτη,6,-1,41
ἀσθμαίνω,6,-1,19
μαιμάω,6,-1,3
βαρύνω,6,-1,3
πρέσβα,6,-1,10
ἄξων,6,-1,19
ἐπίσωτρον,6,-1,7
ῥυμός,6,-1,4
βριθύς,6,35,3
ἀγρέω,6,-1,48
μαχητής,6,-1,2
δάπτω,6,-1,23
ἀμενηνός,6,-1,27
ἀνδροκτασία,6,-1,1
Ναιάς,6,41,34
πολύκμητος,6,17,28
ἄκρις,6,-1,41
φέριστος,6,34,29
μνηστός,6,-1,10
ἀπολάμπω,6,43,7
ἕπω,6,40,22
ἐπιμένω,6,-1,29
τεκμαίρομαι,6,30,33
ἐρινεός,6,-1,31
προφεύγω,6,-1,23
ἠθεῖος,6,-1,43
ἑτεραλκής,6,-1,1
ὕστερον,6,-1,36
ἐυ,6,-1,22
αἰγυπιός,6,-1,12
κρεμάννυμι,6,-1,52
ἀκλεής,6,-1,33
ἀκόρητος,6,-1,38
ἐπίκλησις,6,-1,6
ὀπάων,6,-1,2
ὀρύσσω,6,40,41
ὑποκρίνομαι,6,-1,9
ἐπιλήθω,6,-1,29
ῥίον,6,-1,41
ἀναγκαῖος,6,-1,6
οὖρος2,6,-1,16
Νηληιάδης,6,-1,2
ἀγαπήνωρ,6,-1,2
βροντάω,6,-1,12
ἔσχατος,6,-1,45
κῆπος,6,-1,31
βλεμεαίνω,6,-1,45
δοκεύω,6,-1,17
σάρξ,6,-1,22
ἐξικνέομαι,6,-1,49
μέρμερος,6,-1,47
ἡμέρα,6,-1,46
εὔθρονος,6,23,35
Λέσβος,6,-1,34
ἀποκόπτω,6,-1,3
ἀπειλή,6,34,1
ἀπατάω,6,-1,9
ἐπαινός,6,7,27
εὕω,6,40,20
χατέω,6,-1,29
γουνός,6,16,34
λιτανεύω,6,39,37
ἀπαμύνω,6,-1,8
στόρνυμι,6,29,52
στένω,6,-1,3
ἀχαιός,6,-1,13
ἀνεγείρω,6,-1,16
πάννυχος,6,-1,32
ἑδριάω,6,-1,4
Παίων,6,-1,34
ἔτυμος,6,12,9
μετακιάθω,6,-1,5
φίλτερος,6,-1,8
ἔγκατα,6,-1,32
τέρσομαι,6,-1,33
ἀνέλκω,6,-1,42
ὑπαλύσκω,6,-1,23
ἱπποσύνη,6,-1,15
ῥόπαλον,6,-1,31
συναγείρω,6,-1,16
ἀγελαῖος,6,-1,20
πολύπυρος,6,-1,34
κρημνός,6,-1,21
Ἀντιφάτης,6,-1,10
ῥάπτω,6,-1,23
τῇδε,6,-1,23
βραχίων,6,-1,3
ἄχθος,6,-1,31
δαμνάω,6,-1,48
λαοσσόος,6,-1,1
ἀμέρδω,6,-1,47
ἔντερον,6,-1,3
ἐκπεράω,6,-1,19
ὀρχηστύς,6,-1,47
σιγάω,6,-1,9
ὄρχατος,6,-1,31
κονίω,6,-1,19
ἱμείρω,6,-1,16
κυμαίνω,6,1,25
καλλιπλόκαμος,6,15,6
τανυήκης,6,-1,3
ὑψίκομος,6,-1,31
ὀσμή,6,-1,31
κατείβω,6,-1,37
καταπρηνής,6,-1,19
ἠλίβατος,6,-1,31
στάθμη,6,40,41
ὕπαιθα,6,-1,12
ποντοπόρος,6,-1,35
Ἀλκιμέδων,6,-1,2
ὁδίτης,6,-1,18
Πατροκλῆς,6,-1,2
ἱκετεύω,6,-1,37
περικτίονες,6,-1,10
προλείπω,6,-1,26
οὔπως,6,-1,21
ἑλκέω,6,-1,26
ἀμφιβάλλω,6,-1,44
προεῖδον,6,-1,19
σέβας,6,-1,14
ἄλειφαρ,6,-1,32
ἀρτύω,6,-1,23
ἀγινέω,6,-1,20
σηκός,6,-1,32
εἰσείδω,6,-1,15
εὐστέφανος,6,-1,47
βαθυδίνης,6,-1,30
ὁποῖος,6,2,9
ἑνδέκατος,6,-1,46
τέτρατος,6,-1,46
ἐκπέμπω,6,-1,26
κατακρύπτω,6,-1,26
πλύνω,6,-1,44
ἄλαστος,6,-1,15
καταφθίω,6,11,26
παρελαύνω,6,-1,21
ἀναείρω,6,-1,5
ἀπόπροθι,6,-1,46
ἔσω,6,-1,24
φύρω,6,-1,37
ξένος2,6,-1,0
ἀνάρσιος,6,1,40
ἀγαπάζω,6,-1,33
πρᾶξις,6,-1,38
Τάφιοι,6,-1,51
ἔντοσθεν,6,13,41
πόθι,6,-1,46
πινυτός,6,-1,14
Σάμη,6,41,40
ποτιπτύσσω,6,-1,9
ἀνάπτω,6,-1,23
ἀναλύω,6,-1,28
σκιάω,6,41,35
ἐπήρετμος,6,12,51
ἐπιβουκόλος,6,-1,20
κάλλιμος,6,-1,28
εὐνάζω,6,-1,35
δολιχήρετμος,6,12,51
ἅλμη,6,-1,18
θεουδής,6,28,8
ἀνακαίω,6,21,22
ναυσικλυτός,6,12,51
ὄγχνη,6,32,31
κιρνάω,6,45,32
Οὖτις,6,2,9
εὐήρης,6,-1,18
διοιστεύω,6,17,42
πήρα,6,-1,32
δμῶος,6,-1,43
Παρνασός,6,-1,48
Ἀμφιμέδων,6,-1,2
Χρύσης,5,15,24
δηθύνω,5,-1,25
Τένεδος,5,-1,34
ὀρεύς,5,-1,20
ἐπιμέμφομαι,5,-1,24
θεοείκελος,5,-1,47
ἄρνυμαι,5,-1,25
ὄθομαι,5,-1,33
λάσιος,5,-1,2
ὀνειδίζω,5,-1,5
Πολύφημος,5,-1,2
παρέζομαι,5,-1,43
αἶσις,5,-1,47
πολυβενθής,5,23,18
δίπτυχος,5,33,22
ὠμοθετέω,5,33,22
ἐπιστέφω,5,45,32
μέλπω,5,-1,47
ἴκμενος,5,-1,6
ἕρμα,5,-1,40
ἀποστείχω,5,-1,13
συμφράζομαι,5,16,43
διείρομαι,5,30,33
ἦδος,5,-1,14
ἐνόρνυμι,5,29,29
ἱπποκορυστής,5,-1,2
πανσυδίῃ,5,-1,4
ἐνδύω,5,-1,52
λιγύφθογγος,5,-1,4
ἀπάτη,5,-1,13
ἄπρακτος,5,-1,15
οἰνοχόος,5,45,32
πα~ς,5,-1,53
λάβρος,5,-1,12
ἠμύω,5,-1,13
χωλός,5,-1,29
δύω,5,-1,52
ἰδνόομαι,5,-1,19
χήρα,5,-1,47
χειμέριος,5,40,12
ὀκτώ,5,-1,20
κατεσθίω,5,-1,27
τώς,5,-1,15
κοναβέω,5,44,19
ἄκρατος,5,-1,32
ἀμέγαρτος,5,-1,53
αἴγλη,5,-1,30
πετρήεις,5,41,34
Ὀρχομενός,5,-1,34
Ἴφιτος,5,41,34
Ἄβας,5,-1,2
περιτέλλομαι,5,-1,46
Μηκιστεύς,5,17,50
πόρος,5,-1,34
Φυλεύς,5,36,2
Ζάκυνθος,5,41,40
Μελέαγρος,5,-1,41
τρίχα,5,-1,30
Λυρνησσός,5,-1,13
Ἄδμητος,5,-1,34
ἕνδεκα,5,17,20
Εὐαίμων,5,-1,2
Πήλιον,5,17,34
Λεοντεύς,5,36,2
ἀπομηνίω,5,-1,1
αἰγανέη,5,-1,42
φθογγή,5,-1,30
Πολίτης,5,36,2
πολίτης,5,-1,34
φθισήνωρ,5,-1,4
Ἀρίσβη,5,41,34
Ὑρτακίδης,5,41,2
Πελασγός,5,37,2
γενέθλη,5,-1,10
Μυσός,5,-1,2
χειμών,5,-1,12
κεραός,5,-1,20
καγχαλάω,5,-1,11
κίθαρις,5,-1,47
ἐκδύω,5,-1,52
γάλοως,5,-1,6
δάμαρ,5,-1,34
δίπλαξ,5,-1,52
Πάνθοος,5,37,2
ἐπιπωλέομαι,5,-1,21
νιφάς,5,40,12
μεδέων,5,-1,29
πημαίνω,5,1,25
ἐπισφύρια,5,42,7
ὀψίγονος,5,-1,35
ἔριον,5,17,25
ἀνύω,5,-1,13
κλυτότοξος,5,15,24
ἐπιγράφω,5,-1,7
παρήιον,5,-1,37
σφυρόν,5,42,3
ἐρεμνός,5,-1,21
ἰωή,5,-1,12
εἴρω2,5,-1,32
σημάντωρ,5,-1,9
ἀμέλγω,5,-1,20
ἀζηχής,5,-1,32
στηρίζω,5,-1,26
ξυστόν,5,-1,3
κάμπτω,5,-1,23
ὀκριόεις,5,-1,3
ἀποσεύω,5,-1,37
Τυδεΐδης,5,-1,2
κτάομαι,5,-1,38
ξέω,5,-1,41
ἐπιβρίθω,5,-1,31
στρεπτός,5,-1,7
ἀγχιστῖνος,5,-1,19
μετοίχομαι,5,-1,5
Θόων,5,36,2
ὑπέχω,5,-1,13
κενεών,5,35,3
κοτύλη,5,-1,3
βουκολέω,5,40,20
Κύπρις,5,-1,29
ἀλύω,5,-1,28
ἄχθομαι,5,-1,33
ὀμόργνυμι,5,-1,37
ἀραιός,5,-1,41
πολύχαλκος,5,-1,34
Φηραί,5,41,34
Ὀρτίλοχος,5,41,34
εὔπωλος,5,10,24
Νοήμων,5,-1,2
ζυγός,5,18,4
θυσανόεις,5,-1,30
στεφανόω,5,-1,30
πρυλέες,5,-1,2
ἀγητός,5,28,14
ἔκγονος,5,-1,35
τυκτός,5,-1,42
ἐπιάχω,5,-1,15
δυσαής,5,-1,12
ἐπιεικτός,5,-1,29
ἰάομαι,5,-1,38
τόθι,5,-1,46
Δαναός,5,-1,1
ἦνις,5,-1,20
Διόνυσος,5,-1,51
Προῖτος,5,2,9
πίναξ,5,-1,32
θυμοφθόρος,5,-1,32
ἀτερπής,5,-1,27
ἀνανεύω,5,39,37
θέρω,5,-1,22
ὑπότροπος,5,-1,46
Ἀνδρομάχη,5,-1,6
ἀγαπητός,5,-1,33
ἠλακάτη,5,13,25
ἐυρρεής,5,-1,30
στεφάνη,5,-1,3
τελευτή,5,-1,43
μόθος,5,-1,17
τόκος,5,-1,10
πολύχρυσος,5,-1,34
θυμοβόρος,5,-1,15
νέρθε,5,-1,52
ὑπέρχομαι,5,3,39
ἑπταβόειος,5,-1,3
ῥηξήνωρ,5,10,50
ἀφαυρός,5,-1,21
ἐύτμητος,5,-1,7
εἶλαρ,5,-1,41
οἴκοθεν,5,0,46
βαθύρροος,5,-1,30
βρότος,5,38,44
σειρά,5,13,41
ἔθειρα,5,-1,7
γέντο,5,43,7
ἱμάσθλη,5,43,4
θεῖον,5,-1,32
φύγαδε,5,-1,17
μεγακήτης,5,-1,18
ὀρθόκραιρος,5,-1,20
ὄνυξ,5,-1,12
παλίντονος,5,17,42
θᾶκος,5,-1,34
λίς2,5,-1,52
στεῖνος,5,-1,21
κύντερος,5,-1,43
ὑπηοῖος,5,-1,4
ἄστρον,5,-1,30
μελάνυδρος,5,32,31
ὁμῆλιξ,5,-1,48
ὁπλότατος,5,-1,10
Λυκομήδης,5,36,2
ἀθλοφόρος,5,18,4
ἐπιδίδωμι,5,0,29
θύω,5,-1,32
ἄυπνος,5,-1,20
μόγις,5,-1,23
ἐρέσσω,5,-1,18
ἀποπλέω,5,-1,35
ἀνεψιός,5,-1,10
Κουρῆτες,5,-1,41
καλλίσφυρος,5,-1,6
γλυκερός,5,-1,47
Τρωικός,5,-1,4
ἀθρέω,5,-1,18
αὐλός,5,-1,19
ἐπίσκοπος,5,-1,8
κερδαλέος,5,-1,8
ἀδέω,5,-1,52
κρατερόφρων,5,-1,29
δόσις,5,14,38
εἰλαπίνη,5,-1,45
ἐριαύχην,5,-1,4
ἐμμενής,5,-1,40
μέλεος,5,-1,7
Θράκιος,5,-1,11
Κύπρος,5,-1,34
ἀορτήρ,5,42,7
ἔρσα,5,-1,12
τοτέ,5,-1,25
ὑπάγω,5,18,4
ἀμολγός,5,-1,25
δύη,5,-1,35
Εἰλείθυια,5,-1,10
μηκάς,5,-1,20
διαλέγω,5,30,9
ἀγοστός,5,-1,19
Σῶκος,5,-1,2
πλευρά,5,-1,3
κτερίζω,5,11,26
ἰατρός,5,-1,49
ἐπιμίξ,5,-1,30
μέσαυλος,5,-1,20
τρωπάω,5,-1,22
πυθμήν,5,-1,41
ἀναίτιος,5,-1,38
συνελαύνω,5,-1,21
ἤλιθα,5,33,20
φαέθω,5,-1,30
οἰκτείρω,5,-1,5
τιτρώσκω,5,-1,21
Ἀσιάδης,5,-1,2
φράσσω,5,-1,3
θωρηκτής,5,13,41
ἱππόκομος,5,-1,7
Λύκιος,5,22,2
νέα,5,-1,34
πτύσσω,5,-1,7
καυλός,5,-1,3
ἐμπίμπρημι,5,-1,22
ἔχθω,5,-1,29
λαιμός,5,-1,3
βρυχάομαι,5,-1,30
Δευκαλίων,5,22,34
οἰοπόλος,5,-1,31
βομβέω,5,44,19
θυμοραιστής,5,-1,19
λάσκω,5,-1,3
ὑβριστής,5,28,8
ὀρχηθμός,5,-1,47
νοῦσος,5,-1,6
χθαμαλός,5,-1,31
νιφόεις,5,-1,12
πορφύρω,5,-1,12
στείνω,5,-1,26
ὁρμίζω,5,23,35
ἄσμενος,5,-1,23
ἀνοίγνυμι,5,-1,52
ἐλάτινος,5,13,41
μετέπειτα,5,-1,32
Ἀλκμήνη,5,-1,10
πόα,5,-1,31
ἦνοψ,5,-1,32
ἀλκτήρ,5,-1,46
ἐνίσσω,5,-1,5
ἀοσσητήρ,5,-1,33
ἀρά,5,-1,12
δαήμων,5,-1,47
κτεατίζω,5,-1,13
εὐποίητος,5,-1,7
Διιπετής,5,-1,30
ὄπις,5,-1,38
ἄνδιχα,5,-1,13
Δαμαστορίδης,5,-1,2
ῥυτήρ,5,-1,42
ἀγακλεής,5,-1,2
ἔρνος,5,-1,31
ἐνηής,5,-1,15
Ἄρητος,5,-1,2
λαρός,5,-1,44
ἀπέρχομαι,5,3,39
ἀτραπός,5,-1,41
ἄγκος,5,-1,20
ἐννέωρος,5,-1,20
φῦσα,5,-1,22
θαμίζω,5,23,14
εἰναετής,5,-1,41
σπόγγος,5,45,32
σταφυλή,5,32,31
πλεκτός,5,-1,41
τελεσφόρος,5,-1,46
ἐριούνιος,5,-1,11
παγχάλκεος,5,-1,7
ἐναργής,5,-1,25
ἀνερείπομαι,5,-1,33
γεύω,5,-1,37
Πολύδωρος,5,-1,2
τίλλω,5,-1,19
ἐλεγχείη,5,-1,40
θέρος,5,-1,31
ἱερεῖον,5,-1,33
προτιόσσομαι,5,-1,33
δορπέω,5,-1,47
μελέδημα,5,-1,16
ὁπόσος,5,-1,32
νύσσα,5,-1,14
ταλαεργός,5,18,4
εὔσκοπος,5,-1,6
κτέρεα,5,11,26
σίνομαι,5,30,33
ἔξειμι2,5,26,39
τηλίκος,5,-1,26
δάος,5,-1,52
Ὠγυγία,5,-1,6
Ἰθάκηνδε,5,-1,29
ὁμαδέω,5,34,52
ἀλεγύνω,5,26,45
ἀμφίαλος,5,41,40
κάμμορος,5,-1,53
ἀπόμνυμι,5,-1,48
πηδάλιον,5,-1,25
πομπεύς,5,-1,26
κεράω,5,-1,32
ἐρωτάω,5,-1,9
ἁγνός,5,23,6
ἀμφιάζω,5,-1,44
εἰσάντα,5,-1,14
γαλήνη,5,-1,35
σκέπας,5,-1,30
