lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
ὦκα,76,lsj,"quickly, swiftly; immediately",-1,(outlier),9,"desire, noble, strength, easy",20,"noble, strength, swift, little",36,"swift, little, haste, eager",70,"swift, haste, eager, quick"
οὐκέτι,75,lsj,"no more, no longer, no further; not now",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
λίσσομαι,74,lsj,"beg, pray; pray; prays; that",71,"pray, vow, boast, votive offering",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
οἴκαδε,74,lsj,"to oneʼs house, home; country, homewards; to peopleʼs houses; at home",40,"home, house, inside, domestic",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",55,"home, house, inside, come forth"
δεῦρο,74,lsj,hither; to [have come hither and] be here; here; sensible objects,59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
πειράω,74,lsj,"attempt, endeavour, try; make trial of; make an attempt on; make an attempt",-1,(outlier),11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
κλυτός,74,lsj,"renowned, glorious; glorious; by which one is called; noble, splendid",81,"glorious, noble, famous, renowned",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
Φαίαξ,74,lsj,Phaeacian; conduits; sewers,-1,(outlier),6,"wind, water, pour, sea",13,"pour, wash, oil, breathe",21,"wash, oil, salt, raw",43,"wash, oil, salt, raw"
χολόω,73,lsj,"anger, provoke; to anger; to be angered; provoked to anger",98,"anger, wrath, angry, rage",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
καίω,73,lsj,"kindle; they lighted them; to be lighted, burn; which blaze",7,"bright, light, kindle, star",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",41,"kindle, snow, cloud, fires"
Κρονίων,73,lsj,son of Cronos; Zeus,104,"olympus, phthia, cronos, ares",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
νῆσος,73,lsj,island; the islands; land flooded; alluvial land,-1,(outlier),6,"wind, water, pour, sea",14,"wind, sea, stream, water",24,"sea, stream, wine, water",48,"stream, wine, water, drink"
χρυσός,73,lsj,gold; golden; anything dear; precious,21,"golden, robe, flowers, soft",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",31,"bronze, silver, gold, copper"
ὗς,73,lsj,the wild swine; boar; sow; sus foeta,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ἀγλαός,72,lsj,"splendid, shining, bright; splendid, beautiful; noble, glorious; beautiful",-1,(outlier),9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
Τροία,72,lsj,Troy; ‘Troy-town’; the Troad; from Troy,143,"troy, athens, trojan, greece",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
ἀμφίπολος,72,lsj,"busied about, busy; handmaid, waiting-woman; handmaid of gods, priestess; attendant, follower",-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
εἰσοράω,72,lsj,"look into, look upon, behold; to discern; to behold; seest)",22,"look, gaze, behold, observe",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",43,"know, appear, perceive, look",83,"look, gaze, eye, behold"
ἀγορά,71,lsj,assembly; of the People; Amphictyonic Council; conventus agere,36,"address, speak, accost, assembly",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",10,"meet, gather, pick, assembly",25,"meet, gather, assembly, face"
θεῖος,71,lsj,"from the gods, divine; divine; appointed of God; given by God",100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
νήπιος,71,lsj,"infant, child; a child; infancy; infant",125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
θύρα,71,lsj,door; double; folding doors; valve,-1,(outlier),2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
ἀραρίσκω,70,lsj,"join, fit together; join together, fasten; knitted; pack up",56,"gather, assemble, collect, lists",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
χιτών,70,lsj,"garment worn next the skin, tunic; a manʼs tunic; coat of mail; coats",114,"garment, cloth, skin, cloak",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",13,"helmet, hair, head, cloth",29,"cloth, garment, skin, cloak"
σχεδόν,70,lsj,"near, hard by; at close quarters; similar to; near",44,"near, nigh, hand, hard",7,"come, return, near, arrive",15,"near, nigh, far, hand",26,"near, far, nigh, hand",51,"near, nigh, hand, close"
πόσις,70,lsj,"husband, spouse; lawful husband; potis; pátis",110,"wife, marry, marriage, wedded",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
φαίδιμος,70,lsj,"shining, radiant, glistening; sleek, glossy; famous, glorious",7,"bright, light, kindle, star",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
συβώτης,70,lsj,swineherd,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
κρείων,69,lsj,"ruler, lord, master; queen",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",12,"lord, king, master, leader"
τρέφω,69,lsj,"thicken; congeal; curdle; curdle, congeal",72,"sharp, keen, smooth, rugged",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",36,"swift, little, haste, eager",71,"little, softly, firm, small"
πυνθάνομαι,69,lsj,learn; by hearsay; by inquiry; from,-1,(outlier),12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
ἵζω,69,lsj,"si-sd-ō; e-sed-s; make to sit, seat, place, set; set",127,"sit, seat, chair, place",2,"chamber, sleep, sit, bed",5,"sleep, sit, seat, bed",6,"sleep, sit, seat, bed",14,"sit, seat, chair, throne"
θεράπων,69,agwn,"periodic maintenance on a car or machine: ""it was time for an overhaul on the tractor""",66,"time, long, partly, old",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
μῆλον,69,lsj,"sheep; goat; rams, wethers; goats",135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ἀλκή,69,lsj,"strength; prowess, courage; force, might; feats of strength, bold deeds",89,"strength, force, better, mighty",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
σῖτος,69,lsj,grain; the corn; its; corn,108,"barley, corn, grain, groats",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",17,"tree, barley, garden, wood",36,"tree, wood, barley, garden"
πόρω,68,agwn,"break a piece from a whole: ""break a branch from a tree""",-1,(outlier),4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",17,"tree, barley, garden, wood",36,"tree, wood, barley, garden"
ποιμήν,68,lsj,"herdsman; shepherd; captain, chief; master, lord",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
πότνια,68,lsj,"mistress, queen; queen; revered, august",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
Πηλεύς,68,lsj,Peleus; son of Peleus; to Peleus’ son,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
ἅρμα,68,lsj,chariot; war-chariot; racing-chariot; travelling-chariot,15,"chariot, car, driver, horse",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",11,"chariot, car, driver, travelling"
καταλέγω,68,lsj,lay down,92,"sleep, lie, lay, bed",2,"chamber, sleep, sit, bed",5,"sleep, sit, seat, bed",6,"sleep, sit, seat, bed",15,"sleep, bed, lie, lay"
ἀείρω,67,lsj,"attach; lift, raise up; brailing them up; hoist",103,"raise, lean, inclining, make stand",3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",22,"draw, raise, drag, stand"
νόστος,67,lsj,"return home; chance of returning to; return; travel, journey",43,"return, backwards, rear, home",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",52,"return, backwards, anew, come home"
βοή,67,lsj,"loud cry, shout; battle-cry; of war; cry",65,"shout, battle, war, aloud",12,"shout, speak, rouse, speech",24,"shout, lament, wail, loud",49,"shout, lament, wail, loud",98,"shout, lament, wail, shriek"
χάλκεος,67,lsj,"of copper; bronze, brazen; bronze; for a shield of brass",0,"bronze, silver, copper, metal",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",31,"bronze, silver, gold, copper"
θάλαμος,67,lsj,"an inner room; chamber, surrounded by other buildings; womenʼs apartment, inner part of the house; a special chamber in this part of the house",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
ἀνάσσω,66,lsj,"to be lord, master; to be lord, hold sway in; to be lord of; to be master of",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",12,"lord, king, master, leader"
ἀπόλλυμι,66,lsj,"destroy utterly, kill; demolish, lay waste; will waste; sought to destroy",80,"destroy, waste, bane, sack",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",39,"slay, kill, destroy, waste",75,"waste, destroy, sack, perish"
θείνω,66,lsj,strike; dashed; slay; slain,74,"slay, slaughter, kill, sacrifice",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",80,"wound, cut, strip, blood"
κονία,66,lsj,"dust; sand; ashes; pearl-ash, lye, soap-powder",25,"wash, oil, dry, salt",6,"wind, water, pour, sea",13,"pour, wash, oil, breathe",21,"wash, oil, salt, raw",43,"wash, oil, salt, raw"
ἕτερος,66,lsj,one; the other of two; left; one of the,55,"fifth, half, fourth, thrice",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
μεγαλήτωρ,66,lsj,greathearted,-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
οὕνεκα,65,lsj,"on account of which, wherefore; because; that; the fact that",59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
μετεῖπον,65,lsj,"speak among, address",36,"address, speak, accost, assembly",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",99,"address, speak, accost, surname"
ἕλκω,65,lsj,"sulcus; velkù; draw, drag; began to drag",-1,(outlier),3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",22,"draw, raise, drag, stand"
ξίφος,65,lsj,sword; power of life and death; jus gladii; sword-shaped bone,140,"spear, axe, sword, wand",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
ἀνέχω,65,lsj,"hold up, lift up; held up; in fight; hold up",-1,(outlier),12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
μᾶλλον,65,agwn,"comparative of much; to a greater degree or extent: ""he works more now""; ""they eat more than they should""",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
νεκρός,65,lsj,corpse; dying person; the dead; dead,3,"funeral, dead, rites, burial",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
τόφρα,64,lsj,"up to; during that time, so long; in (the course of) that time, so long; meanwhile",66,"time, long, partly, old",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",38,"long, years, time, late"
κλέος,64,lsj,"rumour, report; news; the report; the news",41,"voice, sound, speech, hear",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
ἔδω,64,lsj,"eat; eat up, devour",63,"eat, devour, food, meal",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",16,"eat, meal, food, devour",35,"eat, food, meal, devour"
στρατός,63,lsj,"army, host; the commons, people; band; body",-1,(outlier),12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",48,"rouse, stir, dance, song",94,"song, dance, choir, music"
προίημι,63,lsj (relaxed match),"send forth, send forward; send; forward; will allow",91,"throw, send, fall, forth",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",59,"throw, send, forth, forward"
τρέπω,63,lsj,Studien zum griech. Perf; turn; direct; show,1,"memnonion, du, des, grecs",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
μέλω,63,lsj,"to be an object of care; thought; care for, take an interest in; am I in",6,"care, heed, bestowed, busy oneself",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
κατακτείνω,63,lsj,"kill, slay",74,"slay, slaughter, kill, sacrifice",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",39,"slay, kill, destroy, waste",76,"slay, slaughter, kill, sacrifice"
πύλη,63,lsj,one wing of a pair of double gates; gates of a town; gates; the gates,-1,(outlier),2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
ἕννυμι,63,lsj,ves; vestis; váste; put clothes on,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",13,"helmet, hair, head, cloth",29,"cloth, garment, skin, cloak"
ἔλπω,63,lsj,cause to hope; feeds; with hope; cause to expect,16,"counsel, craft, wise, plan",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
ἀγείρω,62,lsj,"gather together; gather, assemble; herded; collect, gather",56,"gather, assemble, collect, lists",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",10,"meet, gather, pick, assembly",25,"meet, gather, assembly, face"
ὄπισθεν,62,lsj,"behind, at the back; back; those who are left behind; those who are in the rear",43,"return, backwards, rear, home",7,"come, return, near, arrive",15,"near, nigh, far, hand",25,"beneath, lowest, hindmost, atop",49,"beneath, lowest, high, aloft"
κιχάνω,61,lsj,"reach, hit; light upon, meet with; reach, overtake; shall reach",123,"arrive, reach, come, attain",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
ἄμφω,61,lsj,both,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
ἀντίθεος,61,lsj,"equal to the gods, godlike; contrary to God; hostile deity; disguised as a god",100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
ἀίσσω,61,lsj (relaxed match),"shoot, dart, glance; darting upon; rapid flight; gliding about",118,"fly, winged, dart, riot",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",48,"rouse, stir, dance, song",95,"spring, dart, rush, leap"
λυγρός,61,lsj,"baneful, mournful; bane, misery; ruin; in banes",80,"destroy, waste, bane, sack",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",79,"destiny, wretched, hateful, wrath"
ὄχος,61,lsj,carriage; chariot; bearers; anything which holds,15,"chariot, car, driver, horse",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",11,"chariot, car, driver, travelling"
κτῆμα,61,lsj,"anything gotten, piece of property, possession; possessions; heirlooms; property",32,"prize, contest, gain, win",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",8,"honour, wonder, reverence, gift"
ἄγχι,61,lsj,near; like,-1,(outlier),7,"come, return, near, arrive",15,"near, nigh, far, hand",26,"near, far, nigh, hand",51,"near, nigh, hand, close"
μυθέομαι,60,lsj,speak; converse; say that; order,36,"address, speak, accost, assembly",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
ἄχος,60,lsj,"pain, distress",79,"grieving, distressed, wretched, pity",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
δαίμων,60,lsj,"god, goddess; the Divine power; the Deity; chance",100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
λευκός,60,lsj,"light, bright, clear; glassy; clear, limpid; clear, distinct",7,"bright, light, kindle, star",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
Ἥφαιστος,60,lsj,Hephaestus; Volcanus; Plah; nine,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",2,"tenth, eleventh, number, seven"
ἀργαλέος,60,lsj,"painful, troublous; difficult; troublesome, vexatious; hard",79,"grieving, distressed, wretched, pity",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
εὕδω,60,lsj,"sleep; slumbering; sleep of death; rest, be still",92,"sleep, lie, lay, bed",2,"chamber, sleep, sit, bed",5,"sleep, sit, seat, bed",6,"sleep, sit, seat, bed",15,"sleep, bed, lie, lay"
πέτρα,60,lsj,"rock; cliffs, ledges; rocks; rocky peak",-1,(outlier),2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",17,"peak, mountain, hill, headland"
ζωός,60,lsj,"alive, living",3,"funeral, dead, rites, burial",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
πολεμίζω,59,lsj,"wage war, fight; with; jointly with; war",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
ἐρύκω,59,lsj,"keep in, curb, restrain; keep; back; kept",85,"stay, remain, restrain, stop",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",61,"hold, seize, stay, remain"
ἐπέρχομαι,58,lsj,come upon; approach; come suddenly upon; come to for advice,122,"come, ibo, pass, approach",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
δαίφρων,58,lsj (relaxed match),"warlike, fiery; wise, prudent; craftsman; dasrás",-1,(outlier),9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
χλαῖνα,58,lsj,"upper-garment, cloak, wrapper; blanket; covering; like a cloak",114,"garment, cloth, skin, cloak",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",13,"helmet, hair, head, cloth",29,"cloth, garment, skin, cloak"
ὑψηλός,58,lsj,"high, lofty; highland; high, lofty, stately, proud; high",5,"high, lofty, height, feet",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
ἐπιβαίνω,58,lsj,"go upon; set foot on, tread, walk upon; set foot on; placed upon",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
κοῖλος,57,lsj,hollow; hold; vena cava; plate,139,"breast, hollow, lap, guts",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",32,"hollow, shape, form, hewn"
χόλος,57,lsj,"gall, bile; gall, bitter anger, wrath; rage; anger towards",98,"anger, wrath, angry, rage",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
σώζω,57,lsj (relaxed match),"save, keep; save from death, keep alive; spare; to be saved, kept alive, preserved",85,"stay, remain, restrain, stop",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
ἀεικής,57,lsj,"unseemly, shameful; inconvenience; meagre; strange",-1,(outlier),10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",79,"destiny, wretched, hateful, wrath"
πάλιν,57,lsj,"back, backwards; back, restore; back; back from",43,"return, backwards, rear, home",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",52,"return, backwards, anew, come home"
αὔτως,57,lsj,"in this very manner, even so; just as I am; in the self-same way, likewise; just so",57,"just, exceedingly, altogether, greater",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
τέκος,57,lsj,the young,-1,(outlier),1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",6,"old, age, youth, elders"
δέω,57,lsj,"bind, tie, fetter; to bind; tie; bind, keep in bonds",48,"bind, fast, tie, fix",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
δαίνυμι,57,lsj,give a banquet; feast; to give; thou shalt be,34,"guest, banquet, meal, feast",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",9,"guest, banquet, dinner, meal"
αὖθι,57,lsj,"on the spot, here, there; there, as he is; forthwith, straightway",-1,(outlier),7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
Μηριόνης,57,lsj,pudenda muliebria,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
δμωή,57,lsj (relaxed match),"female slave taken in war; female slave, serving-woman",-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
καρδία,56,lsj,heart; feelings?; freely; kindly,78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
μάρναμαι,56,lsj,"fight, do battle; with, against; together with; on his side",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
πόνος,56,lsj,"work; hard work, toil; the toil of war; toil",31,"toil, work, suffer, labour",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
δέπας,56,lsj,"beaker, goblet; bowl",-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
τίω,56,lsj,"Erster Bericht; honour, revere; honour; honoured",26,"honour, wonder, reverence, glory",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",8,"honour, wonder, reverence, gift"
φιλότης,56,lsj,"friendship, love, affection; in, with, from friendship; affection; in affection",78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
ὀδύρομαι,56,lsj,"lament, bewail; mourned for; mourn for, for the sake of; wail",52,"bewail, groaning, lament, sigh",12,"shout, speak, rouse, speech",24,"shout, lament, wail, loud",49,"shout, lament, wail, loud",98,"shout, lament, wail, shriek"
λέων,56,lsj,lion; lionʼs skin; crab; serpent,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
περίφρων,56,lsj,"very thoughtful, very careful; artful, crafty; haughty, overweening; despising",-1,(outlier),9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
ἐπιτέλλω,55,lsj,"enjoin, prescribe, command; spake; command; enjoined, prescribed",-1,(outlier),11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
ὄις,55,lsj (relaxed match),sheep; ram; ewe; avis,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ἔρις,54,lsj,"strife, quarrel, contention; battle-strife; quarrel, strife; discord",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
ὀιστός,54,lsj (relaxed match),"arrow; arrow-head, Sagitta sagittifolia; Sagitta",77,"arrow, bow, javelin, shoot",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",27,"arrow, bow, shoot, sagitta"
αἰγίοχος,54,lsj,veho; aegis-bearing,-1,(outlier),3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",20,"bend, curved, twisted, stretch"
χρή,54,lsj,"sum; it is necessary; it must needs, one must; ought",13,"desire, want, wish, need",9,"desire, noble, strength, easy",19,"desire, wish, love, want",33,"wish, need, want, desire",65,"wish, need, want, desire"
ὀπίσω,54,lsj,"backwards; hinder parts; back; back, back again",43,"return, backwards, rear, home",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",52,"return, backwards, anew, come home"
χαλεπός,54,lsj,"difficult; hard to bear, painful, grievous; severity; hardships",79,"grieving, distressed, wretched, pity",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
