lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
τέκτων,12,lsj,"worker in wood, carpenter, joiner; craftsman; workman; a worker",-1,(outlier),4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",17,"tree, barley, garden, wood",36,"tree, wood, barley, garden"
μέτωπον,12,lsj,"the space between the eyes; brow, forehead; front, face; face",23,"eye, face, roots, round",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",13,"helmet, hair, head, cloth",30,"hair, helmet, head, face"
αἰών,12,lsj,"aevum; period of existence; lifetime, life; the Aeacidae",-1,(outlier),4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
χωρέω,12,lsj,"make room for another, give way, withdraw; gave way; put back, retire; begone!",84,"leave, retire, gone, withdraw",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",62,"leave, retire, away, ward"
πεδάω,12,lsj,"bind with fetters; bind, make fast; shackle, trammel; constrained",48,"bind, fast, tie, fix",3,"meet, bind, round, stretch",8,"meet, bind, ready, gather",9,"bind, ready, fast, make",23,"ready, bind, fast, make"
θάρσος,12,lsj,courage; courage to do; courage against; courage!,96,"courage, good, arrogant, manly",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
Σκάμανδρος,12,lsj,Scamander; Scamandrian,135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
ἐκβάλλω,12,lsj,throw; cast out of; throw out; threw,91,"throw, send, fall, forth",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",59,"throw, send, forth, forward"
ἰοχέαιρα,12,lsj,"arrow-pourer, shooter of arrows; poison-shedding",77,"arrow, bow, javelin, shoot",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",27,"arrow, bow, shoot, sagitta"
ἐμμεμαώς,12,lsj,"in eager haste, eager",99,"haste, eager, furiously, rage",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",36,"swift, little, haste, eager",70,"swift, haste, eager, quick"
φέβομαι,12,lsj,"to be put to flight, flee in terror; flee from; bègti",61,"flee, escape, avoid, shun",8,"flee, pass, away, drive",18,"flee, fear, away, hold",32,"flee, fear, wander, avoid",63,"flee, wander, avoid, escape"
ῥινόν,12,lsj,hide; shield,115,"hide, cover, shield, conceal",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
δάμνημι,12,lsj,"forced, seduced",13,"desire, want, wish, need",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",90,"trusty, cheat, truth, trusted"
ἄημι,12,lsj,vā´ti; vējas; breathe hard; blow,-1,(outlier),6,"wind, water, pour, sea",13,"pour, wash, oil, breathe",22,"pour, breathe, flow, spread",45,"breathe, disperse, sprinkle, spread"
