lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ἐφοράω,12,214,9,9,58,0.79479146,11.4291115,"oversee, observe; watch over, visit; visit; attend",lsj
ἐφορμάω,15,164,28,60,24,0.8206529,13.274581,"stir up, rouse against; set; having urged; rush upon, attack",lsj
ἐφύπερθε,9,141,21,1,52,1.8826886,6.6737027,"above, atop; from above; above",lsj
ἐχέφρων,6,-1,36,17,138,3.8980043,9.061297,"sensible, prudent",lsj
ἐχθαίρω,10,-1,20,30,130,1.6873744,12.443845,"hate, detest; bear; hatred; to be hateful",lsj
ἐχθρός,7,110,31,34,113,3.5460908,6.548812,"hated, hateful; hateful; hating, hostile; averse from",lsj
ἐύς,34,-1,39,39,80,2.1835146,9.112949,"good, brave, noble; good things, good fortune; thy",lsj (relaxed match)
ἐύτμητος,5,122,29,14,124,2.2209156,9.184985,,none
ἑανός,9,155,14,12,95,1.1301439,14.140852,fine; beaten out fine; fine robe; sail,lsj
ἑδριάω,6,155,14,16,59,0.9838501,14.2591,seat; set; sit,lsj
ἑκάς,20,-1,28,60,110,1.7321851,6.9479175,"afar, far off; far from, far away from; farther; farthest",lsj
ἑκάτερθε,17,141,21,1,52,1.9205258,6.6879396,"after a negative statement used as an intensive meaning something like ""likewise"" or ""also""; ""he isn't stupid, but he is",agwn
ἑκατηβόλος,6,6,3,21,119,2.2419074,9.75797,far-darting; shooting a hundred; hitting the mark at will,lsj
ἑκατόμβη,35,6,3,21,119,2.166408,9.866171,an offering of a hundred oxen; sacrifice; eye-salve,lsj
ἑκατόν,9,117,31,79,79,2.6318953,5.5832396,a hundred; very many; sém kṃtóm; centum,lsj
ἑκηβόλος,9,6,3,21,119,2.289361,9.71097,attaining his aim; far-shooting,lsj
ἑκών,16,-1,2,68,127,2.880867,7.3645625,"váśmi; readily; wittingly, purposely; as far as depends on oneʼs will, as far as concerns one",lsj
ἑλίσσω,17,155,13,48,6,0.9752055,14.163954,Acut.(Sp; turn round; about; turning,lsj
ἑλκέω,6,223,7,76,53,0.60486686,13.393346,"drag about, tear asunder; did; violence to",lsj
ἑνδέκατος,6,2,31,79,79,2.566704,6.151222,eleventh; eleventh day,lsj
ἑξῆς,25,-1,21,1,52,2.7308462,6.504551,"one after another, in order, in a row; continued; successive; in order",lsj
ἑπτά,18,-1,31,34,113,2.7366521,5.77798,seven; Seven; septemviri epulones; septṃ,lsj
ἑπταβόειος,5,-1,10,7,77,1.7015841,9.360627,of seven bullsʼ-hides,lsj
ἑσπέριος,9,58,21,1,52,2.5862372,7.32213,towards evening; at eventide; at even; western,lsj
ἑτέρωθεν,32,-1,21,1,52,2.0177228,6.6194506,"from the other side; on the other side, opposite; from another quarter, from outside",lsj
ἑτέρωσε,11,-1,21,1,52,1.994784,6.6387076,"to the other side; on one side; on the other side; elsewhither, aside",lsj
ἑταῖρος,397,-1,23,62,30,4.9477286,8.836569,"comrade, companion; comrades-in-arms; messmate; fellowslave",lsj
ἑτεραλκής,6,73,19,4,78,2.311368,8.775293,giving strength to the other side; inclining to the other side; was changing sides; inclining to their side,lsj
ἑτοῖμος,18,-1,26,28,29,3.6025484,10.702588,"at hand, ready, prepared; in hand; in ready money; ready",lsj
ἑός,296,31,15,20,122,4.7023377,7.9546056,"his, her own; his own; his own inmost; their",lsj
ἔγκατα,6,112,1,41,66,4.56158,12.5277195,"inwards, entrails",lsj
ἔγχος,239,158,1,8,96,4.6204896,11.877986,"spear, lance; weapon; sword; weapons",lsj
ἔδω,57,67,10,0,39,1.1589303,10.955395,"eat; eat up, devour",lsj
ἔθειρα,5,149,14,29,28,4.48605,11.479703,hair; a horseʼs mane; horsehair crest; hair of the head,lsj
ἔθνος,29,170,23,13,56,4.883429,10.890366,"number of people living together, company, body of men; band; host; swarms, flocks",lsj
ἔθω,9,-1,4,43,43,1.0458541,11.2372,"to be accustomed, to be wont; after his wont",lsj
ἔισος,24,67,10,0,39,1.0761242,10.814522,"alike, equal; equal in height; equal; equally shared, of which each partakes alike",lsj (relaxed match)
ἔκπαγλος,25,16,2,44,134,2.4423947,8.085074,"terrible, violent; terribly, vehemently, exceedingly; beyond all measure; marvellous, wondrous",lsj
ἔκτοσθε,9,141,21,1,52,1.9350303,6.7228956,outside; out of the number of; delirious,lsj
ἔλαιον,23,120,6,45,45,3.5847468,12.907927,olive-oil; anointing-oil; oil; any oily substance,lsj
ἔλαφος,16,56,6,46,10,5.5897436,10.218108,"deer, Cervus elaphus; hart; stag; hind",lsj
ἔλδομαι,17,-1,10,0,39,0.21050528,11.950921,"wish, long; long for; eager to reach; desire",lsj
ἔλδωρ,8,67,10,0,39,1.127345,10.959623,"wish, longing, desire",lsj
ἔλεγχος,5,-1,2,2,40,4.477492,12.472014,"reproach, disgrace, dishonour; reproaches",lsj
ἔλπω,60,206,10,0,39,-0.32584953,11.577811,cause to hope; feeds; with hope; cause to expect,lsj
