lemma,urn,category,method,embed_score,gloss
τεκμορ-εῖοι,urn:cite2:hmt:lsj.chicago_md:n102852,civic_community,embed,0.463,an association who pledged their loyalty
τεμέν-ιος,urn:cite2:hmt:lsj.chicago_md:n103042,civic_community,embed,0.463,of; belonging to the; in the
τηκεδονικός,urn:cite2:hmt:lsj.chicago_md:n103779,civic_community,embed,0.463,tabificabile
τρῐχό-δεσμος,urn:cite2:hmt:lsj.chicago_md:n105414,civic_community,embed,0.463,hair-band
ὑπό-στρωσις,urn:cite2:hmt:lsj.chicago_md:n109256,civic_community,embed,0.463,flooring
ἀλλο-γενής,urn:cite2:hmt:lsj.chicago_md:n4439,civic_community,embed,0.462,of another race
βῐασ-τός,urn:cite2:hmt:lsj.chicago_md:n19888,civic_community,embed,0.462,violent
βολαῖος,urn:cite2:hmt:lsj.chicago_md:n20258,civic_community,embed,0.462,violent
γᾰμο-κλόπος,urn:cite2:hmt:lsj.chicago_md:n21575,civic_community,embed,0.462,adulterous
δῠσεν-τευξία,urn:cite2:hmt:lsj.chicago_md:n28935,civic_community,embed,0.462,repulsive demeanour
ἑκκαιδεκα-έτης,urn:cite2:hmt:lsj.chicago_md:n32078,civic_community,embed,0.462,sixteen years old; consisting of sixteen years
μαίμακος,urn:cite2:hmt:lsj.chicago_md:n64545,civic_community,embed,0.462,violent
μοιχ-ευτός,urn:cite2:hmt:lsj.chicago_md:n68298,civic_community,embed,0.462,adulterous
νυμφ-ώδης,urn:cite2:hmt:lsj.chicago_md:n71306,civic_community,embed,0.462,of marriageable age
ὁμόω,urn:cite2:hmt:lsj.chicago_md:n73923,civic_community,embed,0.462,unite
προτερ-ηγενής,urn:cite2:hmt:lsj.chicago_md:n90499,civic_community,embed,0.462,"born sooner, older"
συνᾰμάομαι,urn:cite2:hmt:lsj.chicago_md:n99176,civic_community,embed,0.462,gather together
ὑποκλῐνής,urn:cite2:hmt:lsj.chicago_md:n108572,civic_community,embed,0.462,"subject, subordinate"
βῐο-φειδής,urn:cite2:hmt:lsj.chicago_md:n19989,civic_community,embed,0.461,penurious
δαλλώ,urn:cite2:hmt:lsj.chicago_md:n23343,civic_community,embed,0.461,old woman
δεχοκτώ,urn:cite2:hmt:lsj.chicago_md:n24288,civic_community,embed,0.461,eighteen
ἡβ-ηδόν,urn:cite2:hmt:lsj.chicago_md:n46582,civic_community,embed,0.461,from the youth upwards
κοιτ-ασμός,urn:cite2:hmt:lsj.chicago_md:n58475,civic_community,embed,0.461,folding
κουρο-γονία,urn:cite2:hmt:lsj.chicago_md:n59474,civic_community,embed,0.461,begetting of boys
κύβηνα·,urn:cite2:hmt:lsj.chicago_md:n60515,civic_community,embed,0.461,old woman
λᾱο-δάμᾱς,urn:cite2:hmt:lsj.chicago_md:n61908,civic_community,embed,0.461,subduer of peoples
μετέκ-γονοι,urn:cite2:hmt:lsj.chicago_md:n67081,civic_community,embed,0.461,childrenʼs children
ὀκτω-καίδεκα,urn:cite2:hmt:lsj.chicago_md:n72857,civic_community,embed,0.461,eighteen
ὀψῐ-γενής,urn:cite2:hmt:lsj.chicago_md:n76313,civic_community,embed,0.461,late-born
πᾰνηγῠρι-άρχης,urn:cite2:hmt:lsj.chicago_md:n77410,civic_community,embed,0.461,president of a
παντ-άρχων,urn:cite2:hmt:lsj.chicago_md:n77587,civic_community,embed,0.461,one who has served all offices
περί-πτυκτος,urn:cite2:hmt:lsj.chicago_md:n82015,civic_community,embed,0.461,folding
πιττᾰκιάρχης,urn:cite2:hmt:lsj.chicago_md:n83347,civic_community,embed,0.461,president of a
πρωτο-κλίναρχος,urn:cite2:hmt:lsj.chicago_md:n90981,civic_community,embed,0.461,president of a
συμμορ-ιάρχης,urn:cite2:hmt:lsj.chicago_md:n98460,civic_community,embed,0.461,president of a
ταυρ-έλᾰφος,urn:cite2:hmt:lsj.chicago_md:n102534,civic_community,embed,0.461,tame Indian buffalo
τηθία,urn:cite2:hmt:lsj.chicago_md:n103770,civic_community,embed,0.461,old woman
φρᾱτρίαρχ-ος,urn:cite2:hmt:lsj.chicago_md:n112244,civic_community,embed,0.461,president of a
χελληστυάρχ-ας,urn:cite2:hmt:lsj.chicago_md:n113746,civic_community,embed,0.461,president of a
γῠναικ-ίσκιον,urn:cite2:hmt:lsj.chicago_md:n23020,civic_community,embed,0.46,young girl
ἐγκαθ-ηβάω,urn:cite2:hmt:lsj.chicago_md:n30069,civic_community,embed,0.46,pass oneʼs youth in
εὐδια-κόσμητος,urn:cite2:hmt:lsj.chicago_md:n43636,civic_community,embed,0.46,easy to arrange
εὔηχ-ος,urn:cite2:hmt:lsj.chicago_md:n43938,civic_community,embed,0.46,euphonious; melodious
Μυρρῐνοῦς,urn:cite2:hmt:lsj.chicago_md:n69382,civic_community,embed,0.46,an inhabitant of it
ὀρινοβάτης,urn:cite2:hmt:lsj.chicago_md:n75090,civic_community,embed,0.46,mountain
παλλᾰκ-ή,urn:cite2:hmt:lsj.chicago_md:n77009,civic_community,embed,0.46,young girl
παραδια-στολή,urn:cite2:hmt:lsj.chicago_md:n77923,civic_community,embed,0.46,putting together of dissimilar things
σύγγηρ-ος,urn:cite2:hmt:lsj.chicago_md:n97522,civic_community,embed,0.46,growing old with
συμ-βλής,urn:cite2:hmt:lsj.chicago_md:n98284,civic_community,embed,0.46,thrown together
ἀητόρρους,urn:cite2:hmt:lsj.chicago_md:n1879,civic_community,embed,0.459,creating
ἀνομήλῐκος,urn:cite2:hmt:lsj.chicago_md:n9212,civic_community,embed,0.459,of unlike age
δημοσιουργία,urn:cite2:hmt:lsj.chicago_md:n24445,civic_community,embed,0.459,eligibility for public office
θεωροδόκ-ος,urn:cite2:hmt:lsj.chicago_md:n48597,civic_community,embed,0.459,one who receives the
Κελτ-ίβηρες,urn:cite2:hmt:lsj.chicago_md:n56522,civic_community,embed,0.459,tribes of mixed Celtic and Iberian descent
λῐθοξο-εῖον,urn:cite2:hmt:lsj.chicago_md:n63203,civic_community,embed,0.459,workshop of a
μελλο-κούρια,urn:cite2:hmt:lsj.chicago_md:n66165,civic_community,embed,0.459,coming-of-age celebration
ξῡνό-φρων,urn:cite2:hmt:lsj.chicago_md:n71811,civic_community,embed,0.459,friendly-minded
προηβάω,urn:cite2:hmt:lsj.chicago_md:n87465,civic_community,embed,0.459,to be not yet adult
συμπολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n98763,civic_community,embed,0.459,"federal union; with interchange of civic rights, confederacy; sharing of political life"
σύστειπτος,urn:cite2:hmt:lsj.chicago_md:n101454,civic_community,embed,0.459,pressed together
ἀποικ-ίς,urn:cite2:hmt:lsj.chicago_md:n12685,civic_community,embed,0.458,a colony
ἀποσυμμίγνῡμι,urn:cite2:hmt:lsj.chicago_md:n13909,civic_community,embed,0.458,mingle
ἀρτ-ῡτήρ,urn:cite2:hmt:lsj.chicago_md:n15791,civic_community,embed,0.458,director
ἀτράπεζος,urn:cite2:hmt:lsj.chicago_md:n17169,civic_community,embed,0.458,unsocial
βούβᾰλος,urn:cite2:hmt:lsj.chicago_md:n20479,civic_community,embed,0.458,buffalo
διφθερ-άλοιφος,urn:cite2:hmt:lsj.chicago_md:n27581,civic_community,embed,0.458,a schoolmaster
δυσ-κοινώνητος,urn:cite2:hmt:lsj.chicago_md:n29163,civic_community,embed,0.458,unsocial
ἰδῐο-κτήμων,urn:cite2:hmt:lsj.chicago_md:n49849,civic_community,embed,0.458,private owner
ὀρει-ώδης,urn:cite2:hmt:lsj.chicago_md:n74842,civic_community,embed,0.458,mountainous
συνεποκέλλω,urn:cite2:hmt:lsj.chicago_md:n100354,civic_community,embed,0.458,put on land together
σωληνο-κέντης,urn:cite2:hmt:lsj.chicago_md:n101994,civic_community,embed,0.458,fisher of
αἰγο-νομεύς,urn:cite2:hmt:lsj.chicago_md:n2199,civic_community,embed,0.457,goat-herd
ἀντιλεσχαίνω,urn:cite2:hmt:lsj.chicago_md:n10095,civic_community,embed,0.457,chatter against
ἀρχερᾰν-ιστής,urn:cite2:hmt:lsj.chicago_md:n15879,civic_community,embed,0.457,president of an
ἐναπο-τελέω,urn:cite2:hmt:lsj.chicago_md:n34958,civic_community,embed,0.457,to be produced
ζευγῶχος,urn:cite2:hmt:lsj.chicago_md:n46182,civic_community,embed,0.457,owner of a
κατατρύζω,urn:cite2:hmt:lsj.chicago_md:n55443,civic_community,embed,0.457,chatter against
λᾰλ-ιότης,urn:cite2:hmt:lsj.chicago_md:n61782,civic_community,embed,0.457,garrulity
λεσχ-ημονεύομαι,urn:cite2:hmt:lsj.chicago_md:n62595,civic_community,embed,0.457,chat
μῐτ-ινοι,urn:cite2:hmt:lsj.chicago_md:n68122,civic_community,embed,0.457,licinae
ποί-ωσις,urn:cite2:hmt:lsj.chicago_md:n84379,civic_community,embed,0.457,qualification
πολυ-ηλάκᾰτος,urn:cite2:hmt:lsj.chicago_md:n84843,civic_community,embed,0.457,very reedy
προκαταρτ-ίζω,urn:cite2:hmt:lsj.chicago_md:n87706,civic_community,embed,0.457,"complete beforehand; got ready, prepared beforehand"
ἀει-σιτία,urn:cite2:hmt:lsj.chicago_md:n1643,civic_community,embed,0.456,privilege of an
ἀμφίζευκτος,urn:cite2:hmt:lsj.chicago_md:n5833,civic_community,embed,0.456,joined from both sides
αὐτο-χειροτόνητος,urn:cite2:hmt:lsj.chicago_md:n18024,civic_community,embed,0.456,self-elected
ἐκχάσκω,urn:cite2:hmt:lsj.chicago_md:n33251,civic_community,embed,0.456,"gape, gaze"
ἐμφάν-ερος,urn:cite2:hmt:lsj.chicago_md:n34586,civic_community,embed,0.456,designated
ἐνδοθίδιος,urn:cite2:hmt:lsj.chicago_md:n35246,civic_community,embed,0.456,belonging to the house
Ἰησοῦς,urn:cite2:hmt:lsj.chicago_md:n50171,civic_community,embed,0.456,Joshua
κοιν-ωμάτιον,urn:cite2:hmt:lsj.chicago_md:n58442,civic_community,embed,0.456,"band, tie"
πάροιστρ-ος,urn:cite2:hmt:lsj.chicago_md:n79716,civic_community,embed,0.456,"frenzied, frantic"
σκηνο-πᾰγής,urn:cite2:hmt:lsj.chicago_md:n94784,civic_community,embed,0.456,put together like a tent
ἀβελτεροκόκκυξ,urn:cite2:hmt:lsj.chicago_md:n79,civic_community,embed,0.455,silly fellow
ἀμφίσκωμοι,urn:cite2:hmt:lsj.chicago_md:n6071,civic_community,embed,0.455,living around in villages
ἀνά-κλῐτος,urn:cite2:hmt:lsj.chicago_md:n6739,civic_community,embed,0.455,forreclining
ἀνά-χωμα,urn:cite2:hmt:lsj.chicago_md:n7825,civic_community,embed,0.455,"dike, dam"
ἀπεχθ-ήεις,urn:cite2:hmt:lsj.chicago_md:n12027,civic_community,embed,0.455,"odious, noxious"
δεκα-ετής,urn:cite2:hmt:lsj.chicago_md:n23829,civic_community,embed,0.455,ten years old; of; lasting ten years
δεχεπτά,urn:cite2:hmt:lsj.chicago_md:n24285,civic_community,embed,0.455,seventeen
ἑκκαίδεκα,urn:cite2:hmt:lsj.chicago_md:n32072,civic_community,embed,0.455,sixteen
ἑξκαί-δεκα,urn:cite2:hmt:lsj.chicago_md:n37441,civic_community,embed,0.455,sixteen
ἐπιστήρ-ιγμα,urn:cite2:hmt:lsj.chicago_md:n41025,civic_community,embed,0.455,support
ἑπτᾰκαίδεκα,urn:cite2:hmt:lsj.chicago_md:n41941,civic_community,embed,0.455,seventeen
εὐθετ-ισμός,urn:cite2:hmt:lsj.chicago_md:n43974,civic_community,embed,0.455,"convenience, propriety; orderly arrangement"
κιρσουλκ-ία,urn:cite2:hmt:lsj.chicago_md:n57545,civic_community,embed,0.455,this operation
μηχᾰνό-εις,urn:cite2:hmt:lsj.chicago_md:n67631,civic_community,embed,0.455,ingenious
προδιαζεύγνυμι,urn:cite2:hmt:lsj.chicago_md:n86968,civic_community,embed,0.455,is joined to the first
συγκῠνηγ-ός,urn:cite2:hmt:lsj.chicago_md:n97950,civic_community,embed,0.455,fellow-hunter; fellow-huntress
συναρμονιάω,urn:cite2:hmt:lsj.chicago_md:n99510,civic_community,embed,0.455,fit together
συναφ-ικνέομαι,urn:cite2:hmt:lsj.chicago_md:n99594,civic_community,embed,0.455,arrive together
συσμηρίζω,urn:cite2:hmt:lsj.chicago_md:n101378,civic_community,embed,0.455,fit together
ἄγαρρις,urn:cite2:hmt:lsj.chicago_md:n358,civic_community,embed,0.454,meeting
γεραόχος,urn:cite2:hmt:lsj.chicago_md:n21962,civic_community,embed,0.454,holder of privilege
δίφρ-ακον,urn:cite2:hmt:lsj.chicago_md:n27600,civic_community,embed,0.454,seat
εὐανά-τμητος,urn:cite2:hmt:lsj.chicago_md:n43397,civic_community,embed,0.454,easy to dissect
θᾱκ-εῖον,urn:cite2:hmt:lsj.chicago_md:n47710,civic_community,embed,0.454,seat
καθιστήριον,urn:cite2:hmt:lsj.chicago_md:n51850,civic_community,embed,0.454,seat
καυνᾰκο-πλόκος,urn:cite2:hmt:lsj.chicago_md:n56234,civic_community,embed,0.454,weaver of
μέτοικος,urn:cite2:hmt:lsj.chicago_md:n67192,civic_community,embed,0.454,"settler from abroad, alien resident in a foreign city, denizen; one who has settled in; whose home is; with; sojourners; occupant of the same house with"
μνησῐ-χάρη,urn:cite2:hmt:lsj.chicago_md:n68204,civic_community,embed,0.454,gaiety
πᾰλαί-χθων,urn:cite2:hmt:lsj.chicago_md:n76800,civic_community,embed,0.454,"that has been long in a country, an ancient inhabitant, indigenous"
πέπλῠφος,urn:cite2:hmt:lsj.chicago_md:n80927,civic_community,embed,0.454,weaver of
συγγέν-ησις,urn:cite2:hmt:lsj.chicago_md:n97508,civic_community,embed,0.454,meeting
συνεπτυγμένως,urn:cite2:hmt:lsj.chicago_md:n100362,civic_community,embed,0.454,folded; taken together
ἀλείαντος,urn:cite2:hmt:lsj.chicago_md:n3937,civic_community,embed,0.453,unmasticated
ἰδῐο-ξενοδόκος,urn:cite2:hmt:lsj.chicago_md:n49857,civic_community,embed,0.453,private; guarantor of an alien
ἱλᾰρότης,urn:cite2:hmt:lsj.chicago_md:n50338,civic_community,embed,0.453,"cheerfulness, gaiety"
κατεσπευσμένως,urn:cite2:hmt:lsj.chicago_md:n55850,civic_community,embed,0.453,hastily
κολλ-άω,urn:cite2:hmt:lsj.chicago_md:n58590,civic_community,embed,0.453,"glue, cement; mend; join; make; inlaid with; glued together; welded; join fast together, unite; close up; cleave to; is indissolubly bound; put together, build; fit together"
κωμ-ηδόν,urn:cite2:hmt:lsj.chicago_md:n61293,civic_community,embed,0.453,in villages
νομοφῠλᾰκ-ία,urn:cite2:hmt:lsj.chicago_md:n71007,civic_community,embed,0.453,preservation of the laws; office of
Πάνορμος,urn:cite2:hmt:lsj.chicago_md:n77513,civic_community,embed,0.453,its people; its territory
πῶυ,urn:cite2:hmt:lsj.chicago_md:n92015,civic_community,embed,0.453,flock
σκιρτ-ηματικῶς,urn:cite2:hmt:lsj.chicago_md:n94945,civic_community,embed,0.453,skittishly
σπεργανῆσαι·,urn:cite2:hmt:lsj.chicago_md:n95852,civic_community,embed,0.453,hastily
συνθρην-ήτρια,urn:cite2:hmt:lsj.chicago_md:n100632,civic_community,embed,0.453,fellow-mourner
ἀβροτον-ίτης,urn:cite2:hmt:lsj.chicago_md:n194,civic_community,embed,0.452,prepared with
γληχωνίτης,urn:cite2:hmt:lsj.chicago_md:n22302,civic_community,embed,0.452,prepared with
δίφρ-αξ,urn:cite2:hmt:lsj.chicago_md:n27601,civic_community,embed,0.452,"seat, chair"
Ἑσπερ-ία,urn:cite2:hmt:lsj.chicago_md:n42928,civic_community,embed,0.452,the Western land
μᾱλᾰβάθρ-ῐνος,urn:cite2:hmt:lsj.chicago_md:n64758,civic_community,embed,0.452,prepared with
Ὀρί-βακχος,urn:cite2:hmt:lsj.chicago_md:n75066,civic_community,embed,0.452,Mountain-Bacchus
πᾰν-ᾰκίτης,urn:cite2:hmt:lsj.chicago_md:n77222,civic_community,embed,0.452,prepared with
πον-ητικός,urn:cite2:hmt:lsj.chicago_md:n85660,civic_community,embed,0.452,laborious; painstaking
σκαμμων-ίτης,urn:cite2:hmt:lsj.chicago_md:n94540,civic_community,embed,0.452,prepared with
ὑποπρύτᾰνις,urn:cite2:hmt:lsj.chicago_md:n109004,civic_community,embed,0.452,vice-president
ὑποφῐάλιον,urn:cite2:hmt:lsj.chicago_md:n109505,civic_community,embed,0.452,stand for a
φλῠᾱκο-γράφος,urn:cite2:hmt:lsj.chicago_md:n111853,civic_community,embed,0.452,writer of
αὐταυτόθεν,urn:cite2:hmt:lsj.chicago_md:n17566,civic_community,embed,0.451,of oneself
διαπρεσβ-εία,urn:cite2:hmt:lsj.chicago_md:n25636,civic_community,embed,0.451,reciprocal embassy
ἑκκαιδεκᾰταῖος,urn:cite2:hmt:lsj.chicago_md:n32090,civic_community,embed,0.451,sixteen days old
ἡβ-ητήριον,urn:cite2:hmt:lsj.chicago_md:n46586,civic_community,embed,0.451,a place where young people meet
λαμπᾰδάρχ-ης,urn:cite2:hmt:lsj.chicago_md:n61802,civic_community,embed,0.451,holder of the office of
παιδο-κράτωρ,urn:cite2:hmt:lsj.chicago_md:n76622,civic_community,embed,0.451,guardian of boys
παιδο-φύλαξ,urn:cite2:hmt:lsj.chicago_md:n76676,civic_community,embed,0.451,guardian of boys
συσκευ-ᾰσία,urn:cite2:hmt:lsj.chicago_md:n101348,civic_community,embed,0.451,"packing up, getting ready"
τρῐᾱκοντά-δραχμοι,urn:cite2:hmt:lsj.chicago_md:n104740,civic_community,embed,0.451,at thirty
χαλκ-ίνδᾰ,urn:cite2:hmt:lsj.chicago_md:n113095,civic_community,embed,0.451,the game
χειρούργ-ημα,urn:cite2:hmt:lsj.chicago_md:n113702,civic_community,embed,0.451,handiwork; manufactured article; one must perform an operation
ἀνέταιρος,urn:cite2:hmt:lsj.chicago_md:n8521,civic_community,embed,0.45,without friends; fellows
ἐνᾰγ-ικός,urn:cite2:hmt:lsj.chicago_md:n34708,civic_community,embed,0.45,of an
ἐντᾰφ-ιαστικός,urn:cite2:hmt:lsj.chicago_md:n36173,civic_community,embed,0.45,of an
ἐχετλ-ήεις,urn:cite2:hmt:lsj.chicago_md:n45906,civic_community,embed,0.45,of an
ἰξ-ευτικός,urn:cite2:hmt:lsj.chicago_md:n50544,civic_community,embed,0.45,of an
μέρ-ισμα,urn:cite2:hmt:lsj.chicago_md:n66320,civic_community,embed,0.45,part
παρξοά,urn:cite2:hmt:lsj.chicago_md:n79660,civic_community,embed,0.45,tooling
πεντηκοστο-λόγος,urn:cite2:hmt:lsj.chicago_md:n80865,civic_community,embed,0.45,collector of the
πολῠ-γηρία,urn:cite2:hmt:lsj.chicago_md:n84704,civic_community,embed,0.45,attainment of great age
ἀγελάζομαι,urn:cite2:hmt:lsj.chicago_md:n418,civic_community,seed,0.0,"to be gregarious, flock"
ἀγελαῖος,urn:cite2:hmt:lsj.chicago_md:n420,civic_community,seed,0.0,"belonging to a herd; in herds; shoals, gregarious; gregarious animals; of the common herd; common, ordinary"
ἀγελαστικός,urn:cite2:hmt:lsj.chicago_md:n432,civic_community,seed,0.0,"gregarious, social"
ἀγορά,urn:cite2:hmt:lsj.chicago_md:n761,civic_community,seed,0.0,"assembly; of the People; Amphictyonic Council; conventus agere; meeting for games; place of assembly; market-place; market; the forum; the market; the market’; Forum; business of the; public speaking, gift of speaking; from speaking; supplies; provisions, supplies; market, sale; the forenoon; the time just after mid-day; marketday; nundinae"
ἀγοράομαι,urn:cite2:hmt:lsj.chicago_md:n770,civic_community,seed,0.0,"meet in assembly, sit in debate; speak in the assembly, harangue; speak, utter; speak, talk with"
ἀγορ-εύω,urn:cite2:hmt:lsj.chicago_md:n786,civic_community,seed,0.0,"speak in the assembly, harangue; address; ;; to address the house?; counsel; speak, say; did I not say so?; tell of, mention; speaking; tells a tale of; proclaim; to have; proclaimed; declares; to be delivered"
ἀγορ-ῆθεν,urn:cite2:hmt:lsj.chicago_md:n788,civic_community,seed,0.0,from the assembly; market
ἀγορ-ήνδε,urn:cite2:hmt:lsj.chicago_md:n790,civic_community,seed,0.0,to the assembly; market
ἀγορ-ῆφι,urn:cite2:hmt:lsj.chicago_md:n793,civic_community,seed,0.0,in the assembly
ἀγών,urn:cite2:hmt:lsj.chicago_md:n1093,civic_community,seed,0.0,"gathering, assembly; assembly met to see games; place of contest, lists, course; lists; course; beside the mark; assembly; at the national games; contest for a prize; contest; a contest; struggle; battle, action; action at law, trial; speech; main argument; the time for; time for; the crisis; the issue; the question; mental struggle, anxiety; vehemence, power; divinity of the contest"
ἀγών-ιος,urn:cite2:hmt:lsj.chicago_md:n1100,civic_community,seed,0.0,of; belonging to the contest; its; president of games; decider of the contest; in assembly; who presided over the great games; pause from battle; strenuous rest
ἀγων-ιστήριος,urn:cite2:hmt:lsj.chicago_md:n1106,civic_community,seed,0.0,place of assembly
ἀδελφός,urn:cite2:hmt:lsj.chicago_md:n1211,civic_community,seed,0.0,"son of the same mother; brother; brother and sister; kinsman; tribesman, Ex.; colleague, associate; member of a college; fellow; brotherly; sisterly; twin, in pairs; akin, cognate"
Αἰαντίδης,urn:cite2:hmt:lsj.chicago_md:n2110,civic_community,seed,0.0,son of Ajax; one of the tribe
αἱρεσιώτης,urn:cite2:hmt:lsj.chicago_md:n2646,civic_community,seed,0.0,member of a sect
ἀκοιν-ωνησία,urn:cite2:hmt:lsj.chicago_md:n3270,civic_community,seed,0.0,"non-existence of community; unsociableness; lack of community, incompatibility"
ἀκου-στήριον,urn:cite2:hmt:lsj.chicago_md:n3393,civic_community,seed,0.0,"lecture-hall; assembly of hearers, audience"
ἁλία,urn:cite2:hmt:lsj.chicago_md:n4135,civic_community,seed,0.0,"assembly of people; meeting, assembly"
ἀλίασσις,urn:cite2:hmt:lsj.chicago_md:n4148,civic_community,seed,0.0,assembly; withdrawal
ἁλιαστάς,urn:cite2:hmt:lsj.chicago_md:n4149,civic_community,seed,0.0,member of the
ἀλλό-φῡλος,urn:cite2:hmt:lsj.chicago_md:n4536,civic_community,seed,0.0,"of another tribe, foreign; settled in another nome; alien to man, wild; with foreigners; alien, not oneʼs own"
ἀμφικτυονεύω,urn:cite2:hmt:lsj.chicago_md:n5901a,civic_community,seed,0.0,"to be a member of the Amphictyonic Council; to be subject to the Amphictyony, Gött.Gel.Anz."
Ἀναγυρ-οῦς,urn:cite2:hmt:lsj.chicago_md:n6391a,civic_community,seed,0.0,from Anagyrus; to A.; at A.; man of this deme
ἀναμείγνῡμι,urn:cite2:hmt:lsj.chicago_md:n6976,civic_community,seed,0.0,"mix up, mix together; to be mixed; join company; have social intercourse"
ἀνεπι-κοινώνητος,urn:cite2:hmt:lsj.chicago_md:n8392,civic_community,seed,0.0,not social; gregarious
ἀντί-δοσις,urn:cite2:hmt:lsj.chicago_md:n9915,civic_community,seed,0.0,"giving in return, exchange; repayment, requital; in return for..; a form by which a citizen charged with a; might call upon any other citizen; either to exchange properties, or to submit to the charge himself"
ἀπανθρωπ-ία,urn:cite2:hmt:lsj.chicago_md:n11399,civic_community,seed,0.0,"dislike of men; unfitness for social intercourse; unsociability, moroseness; inhumanity"
ἄπολις,urn:cite2:hmt:lsj.chicago_md:n13083,civic_community,seed,0.0,"without city, state; country; outlaw, banished man; no true citizen; without cities; that is no city; that has no constitution, no true"
ἀποπολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n13479,civic_community,seed,0.0,dissolve political community
ἀπό-σπασμα,urn:cite2:hmt:lsj.chicago_md:n13772,civic_community,seed,0.0,"that which is torn off, a piece, rag, shred; branch, division of a tribe; a detached portion; particle; avulsion, tearing apart"
ἀπο-στᾰτήρ,urn:cite2:hmt:lsj.chicago_md:n13816,civic_community,seed,0.0,one who has power to dissolve an assembly; to decide a question
ἀποφύλιος,urn:cite2:hmt:lsj.chicago_md:n14259,civic_community,seed,0.0,having no tribe; foreign
ἀπρόσ-φῡλος,urn:cite2:hmt:lsj.chicago_md:n14526,civic_community,seed,0.0,not belonging to the tribe
ἀριστο-γᾰλᾰτίας,urn:cite2:hmt:lsj.chicago_md:n15107,civic_community,seed,0.0,"chief citizen of the province of Galatia, Class.Rev."
ἀριστο-πολῑτευτής,urn:cite2:hmt:lsj.chicago_md:n15129,civic_community,seed,0.0,best of citizens; best citizen; privileges of an
ἀρχαιρ-εσιάζω,urn:cite2:hmt:lsj.chicago_md:n15850,civic_community,seed,0.0,hold an assembly for the election of magistrates; elect; in the assembly; vote; canvass for a magistracy
ἀρχί-φῡλος,urn:cite2:hmt:lsj.chicago_md:n16031,civic_community,seed,0.0,chief of a tribe
ἀστίτης,urn:cite2:hmt:lsj.chicago_md:n16546,civic_community,seed,0.0,"townsman, citizen"
ἀστός,urn:cite2:hmt:lsj.chicago_md:n16565,civic_community,seed,0.0,"townsman, citizen; one who has civil rights; one who has political rights; the commons; citizen of Alexandria"
ἀστυ-νόμος,urn:cite2:hmt:lsj.chicago_md:n16707,civic_community,seed,0.0,"protecting the city; public; of law-abiding; social life; a magistrate who had the care of the police, streets, and public buildings; praetor urbanus"
αὐτο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n17875,civic_community,seed,0.0,citizen of a free state
ἄφῡλος,urn:cite2:hmt:lsj.chicago_md:n18578,civic_community,seed,0.0,without a tribe
Ἀχερδούσιος,urn:cite2:hmt:lsj.chicago_md:n18679,civic_community,seed,0.0,inhabitant of the deme; Crabby
βῆμα,urn:cite2:hmt:lsj.chicago_md:n19841,civic_community,seed,0.0,"step, pace; footfall; guidance; gait; step; Deff.* 131. `A..3` metaph.,; , S. *OC* 193 (lyr.). `A.II.2`; or; to speak from in a public assembly, etc., Th. 2.34, LXX *Ne.* 8.4, etc.; in the Pnyx at Athens, ἐπὶ τὸ β. ἀναβῆναι enter; , D. 18.66; αἱ ἀπὸ τοῦ β. ἐλπίδες Id. 4.45; also in the lawcourts, Id. 48.31, Aeschin. 3.207; of a suppliant, ἐπὶ τοῦ β. καθεδούμενον Ar. *Pl.* 382; in the βουλευτήριον, Antipho 6.40. `A.2.2.b`; of a magistrate, τοῦ ἡγεμόνος β. *PTeb.* 434 (ii A. D.). `A.II.3` = θυμέλη, Poll. 4.123; β. θεήτρου *IG* 3.239. `A.II.4`"
βουλ-εύω,urn:cite2:hmt:lsj.chicago_md:n20598,civic_community,seed,0.0,"take counsel, deliberate; determine; resolve after deliberation; in council; shall agree; deliberate on, plan, devise; to be determined; planned; take counsel, resolve; give counsel; advise; sit in council; to be a member of a; of the Council of; to be a member of the; take counsel with oneself, deliberate; take counsel; act as member of council; originate measures; determine with oneself, resolve on; resolve"
βουλή,urn:cite2:hmt:lsj.chicago_md:n20600,civic_community,seed,0.0,"will, determination; counsel, design; counsel, advice; ground of argument; counsels; deliberation; decree; Council of elders, Senate; Council; Senate; senates; of the Council, a member of it"
γενεά,urn:cite2:hmt:lsj.chicago_md:n21830,civic_community,seed,0.0,"race, family; by birth; blood; younger; of; race; by birthright; by descent; descent; breed, stock; families; issue; tribe, nation; race, generation; age; offspring; l.; class, kind; birthplace; evrie; age, time of life; time of birth"
γένος,urn:cite2:hmt:lsj.chicago_md:n21920,civic_community,seed,0.0,"race, stock, kin; by race; ;; race; of kin; direct descent; collateral relationship; hereditary; offspring; a single descendant; offspring, posterity; mules; clan, house, family; of noble family; gens; tribe; caste; breed; age, generation; age, time of life; sex; gender; class, sort, kind; Classes; genus; species; crops; produce; materials; kind; elements; jánas; jánasas; genus, -eris"
γερουσίας,urn:cite2:hmt:lsj.chicago_md:n22007,civic_community,seed,0.0,member of the; official
γερουσι-αστής,urn:cite2:hmt:lsj.chicago_md:n22008,civic_community,seed,0.0,member of a
δεκᾰ-πρωτεύω,urn:cite2:hmt:lsj.chicago_md:n23871,civic_community,seed,0.0,serve as member of
