lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
ταῦρος,0,2,3,"bull, bird, night, chariot",12,bull; priest of Poseidon Taureios; the bull as a sign of the Zodiac; the pudenda muliebria,αἴξ Σμινθεύς χαρίεις ναός ἐρέφω πίων μηρία καίω κραίνω ἔλδωρ ἔρδω Ἀπόλλων
κάθημαι,0,2,32,"sit, stay, leap, stand",4,"to be seated, sit; as he sat there; sate; sit on",ἀκέων ἐπιγνάμπτω φίλος κῆρ
ἀργυρότοξος,0,2,9,"greedy, silver bow, terribly, ruthless",20,with silver bow; bearer of the silver bow,κλύω Χρύση ἀμφιβαίνω Κίλλα ζάθεος Τένεδος ἀνάσσω
Τένεδος,0,2,17,"troy, phthia, city, pear",18,Tenedos,κλύω ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα ζάθεος ἀνάσσω
τόσος,0,2,-1,,21,"so great, so vast; so long; so many; so loud",μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον χώομαι Φοῖβος Ἀπόλλων εὐχωλή ἐπιμέμφομαι
εὐχωλή,0,2,2,"dishonour, bend, alive, awe",10,"prayer, vow; votive offering; boast, vaunt; shout of triumph",ἐπιμέμφομαι ἑκατόμβη μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον τόσος χώομαι Φοῖβος
ἐπιμέμφομαι,0,2,31,"tolerable, worth, fulfil, accused",8,cast blame upon; find fault for; because of; complain of,εὐχωλή ἑκατόμβη μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον τόσος χώομαι Φοῖβος
ζάθεος,0,2,-1,,20,"very divine, sacred",κλύω ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα Τένεδος ἀνάσσω
Κίλλα,0,2,17,"troy, phthia, city, pear",14,,κλύω ἀργυρότοξος Χρύση ἀμφιβαίνω ζάθεος Τένεδος ἀνάσσω
ἀμφιβαίνω,0,2,-1,,7,go about; around; in his course had reached; bestride,κλύω ἀργυρότοξος Χρύση Κίλλα ζάθεος Τένεδος ἀνάσσω
βοῶπις,0,2,-1,,19,"ox-eyed; having large, full eyes",πότνια Ἥρα ἀμείβω δείδω
μεταλλάω,0,2,-1,,8,"search carefully, inquire diligently; inquire of, question; sought; out",θεός ἐθέλω νοέω ἕκαστος διείρομαι ἔρομαι
ἁνδάνω,0,2,-1,,4,"please, delight, gratify; pleased; with; the opinion",Ἀτρείδης Ἀγαμέμνων θυμός
θεοπροπία,0,2,-1,,25,"prophecy, oracle",εὔχομαι Δαναοί Ἀπόλλων Ζεύς φίλος Κάλχας ἀναφαίνω ζάω χθών δέρκομαι κοῖλος ναῦς
κεφαλή,0,2,-1,,9,head; in stature; down over the head; on the head,κατανεύω πείθω παλινάγρετος ἀπατηλός ἀτελεύτητος
ὀχθέω,0,2,7,"fear, rejoice, tears, cower",6,"to be sorely angered, vexed in spirit",Ζεύς μέγας πρόσφημι νεφεληγερέτα δῶμα θεός οὐρανίωνες
νεικέω,0,2,2,"dishonour, bend, alive, awe",6,"quarrel, wrangle with; quarrel; with; strove with him",πατήρ ἀθάνατος θεός μήτηρ παράφημι νοέω φίλος ἐπίηρα φέρω Ζεύς δαίς1 ταράσσω
ἐρίζω,0,2,6,"ward, divide, resolve, apart separate",7,"strive, wrangle, quarrel; contend; sophistical disputations; discord",βασιλεύς πρῶτος διίστημι Ἀτρείδης ἄναξ ἀνήρ δῖος Ἀχιλλεύς Πηλείδης ἐθέλω ὁμοῖος μείρομαι
μεγάθυμος,0,2,-1,,25,great-hearted,δίδωμι γέρας Ἀχαιός Ἀτρείδης κύδιστος φιλοκτέανος πᾶς ἀραρίσκω θυμός ἀντάξιος
συνίημι,0,2,-1,,8,bring; set together; shot; together,θεός ἔρις μάχομαι βουλή
ἥρως,0,2,16,"son, lord, man, old",24,"hero; the Fourth Age of men; heroes, as objects of worship; local deities",πολύς ἴφθιμος ψυχή Ἅιδης προιάπτω ἀνίστημι Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων ἄχνυμαι
ἀπόλλυμι,0,2,20,"destroy, accept, away, lay",7,"destroy utterly, kill; demolish, lay waste; will waste; sought to destroy",βούλομαι λαός σῶς
Λητώ,0,2,22,"greeks, olympus, men, cronos",18,Leto; born from Leto; temple of L,Ζεύς υἱός πολύς κίω ἀράομαι γεραιός Ἀπόλλων ἄναξ εὔκομος τίκτω
ἄλοχος,0,2,16,"son, lord, man, old",23,"partner of oneʼs bed, wife; leman, concubine; unwedded",Κλυταιμνήστρη προβέβουλα κουρίδιος χείρων δέμας φυή φρήν ἔργον χαλεπός
λοίγιος,0,2,-1,,21,"pestilent, deadly; sorrow",ἔργον ἐχθοδοπέω ἐφίημι Ἥρα ἐρέθω ὀνείδειος ἔπος ἀνεκτός θνητός ἐριδαίνω θεός κολῳός
ἀρητήρ,0,2,-1,,12,one that prays; priest,ὀλέκω λαός Χρύσης ἀτιμάζω Ἀτρείδης εὐχωλή ἐπιμέμφομαι ἑκατόμβη ἀτιμάω Ἀγαμέμνων
ἀπερείσιος,0,2,1,"grief, gift, splendid, thigh bones",11,countless,Ἀπόλλων ἔρχομαι θοός ναῦς Ἀχαιός λύω θυγάτηρ φέρω ἄποινα στέμμα ἔχω χείρ
κοσμήτωρ,0,2,14,"dreams, augur, strong, powerful busied",5,"one who marshals an army, commander, leader; guide, director; one who adorns",λίσσομαι πᾶς Ἀχαιός Ἀτρείδης λαός
ἐσθλός,0,2,23,"best, better, force, bad",21,"good; brave, stout; noble; wellbred",εἶπον ἔπος τελέω δαίς1 ἦδος χείρων νικάω
πελάζω,0,1,28,"cut, leave, draw, stream",2,"approach, draw near; draws to; come near; will",ἱστός ἱστοδόκη πρότονοι ὑφίημι
ἀμφικύπελλος,0,1,-1,,20,double cup; two-handled,ἀναίσσω δέπας μήτηρ φίλος χείρ τίθημι
ἀποπαύω,0,1,-1,,8,"stop; hinder from, make to cease from; hinder; leave off, cease from",πόλεμος
μέμαα,0,1,24,"arm, fight, anger, judgement",6,,ἀλέξω ῥίπτω πούς τεταγών βηλός θεσπέσιος
ῥίπτω,0,1,33,"throw, crown, choose, hurl",7,"throw, cast, hurl; throw; prostrate; lying",ἀλέξω μέμαα πούς τεταγών βηλός θεσπέσιος
τεταγών,0,1,10,"send, set, lead, having",7,"having seized; tango, tetigi",ἀλέξω μέμαα ῥίπτω πούς βηλός θεσπέσιος
