lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y
Ἶλος,7,17,5,15,76,6.9677362,8.406595
Ἶρις,40,-1,25,25,105,6.136349,8.958976
Ἶρος,8,-1,25,25,105,6.929802,8.536763
ὀβελός,14,-1,1,41,64,5.270917,11.548133
ὀδάξ,8,-1,0,32,15,2.7669747,8.272841
ὀδούς,23,-1,10,0,16,1.7905849,10.403269
ὀδύνη,25,103,6,46,10,2.9917166,10.967741
ὀδύρομαι,51,232,13,48,6,0.7138042,11.762193
ὀδύσσομαι,8,235,4,27,108,0.36184,11.901052
ὀδών,11,75,12,51,51,2.8239274,10.476322
ὀιζυρός,12,75,20,54,132,2.9020221,10.3229885
ὀιζύς,16,75,20,54,132,2.9193923,10.554785
ὀιστεύω,7,75,20,54,132,2.8898036,10.463174
ὀιστός,53,75,12,51,51,2.940747,10.432705
ὀκριόεις,5,99,10,7,4,1.276824,9.439453
ὀκτώ,5,-1,31,79,79,2.6230597,5.624586
ὀλέκω,15,189,7,76,143,0.41237557,13.088296
ὀλίγος,39,58,0,50,1,3.1757562,7.5527697
ὀλοφύρομαι,37,232,13,48,6,0.6444859,11.777672
ὀλοός,39,130,0,50,1,3.3953986,8.850711
ὀλοόφρων,5,-1,0,50,1,3.741844,9.044441
ὀμφαλόεις,13,-1,10,7,4,1.2995677,9.440896
ὀμφαλός,8,-1,1,72,72,5.2182364,11.77995
ὀμόργνυμι,5,186,20,56,27,1.3044984,13.224257
ὀνίνημι,15,-1,30,61,14,0.6944049,12.090327
ὀνείδειος,8,-1,0,58,13,2.8164802,9.011562
ὀνειδίζω,5,153,13,11,93,0.74696654,11.754059
ὀνομάζω,51,108,10,0,16,0.6185183,10.68691
ὀνομαίνω,13,-1,30,61,14,0.16368762,11.324069
ὀξυόεις,11,100,10,7,4,1.3307598,9.402683
ὀξύς,117,146,0,50,1,3.0890474,8.829397
ὀξύς2,25,146,0,50,1,3.2390935,8.687322
ὀπάζω,46,134,10,0,16,1.3944161,10.969996
ὀπάων,6,-1,20,54,132,3.0322778,10.440433
ὀπίσσω,6,-1,10,0,62,1.8306355,6.9414244
ὀπίσω,52,-1,10,0,62,1.8754802,6.861545
ὀπαδέω,8,133,10,0,16,1.4618056,10.857807
ὀπτάω,16,213,14,29,28,1.8742636,13.415162
ὀπυίω,12,133,20,54,132,1.430924,10.843456
ὀρέγω,34,134,10,0,16,1.3069477,11.210542
ὀρίνω,46,164,20,54,87,1.0139792,12.875342
ὀρεύς,5,56,6,46,10,5.414041,10.234226
ὀρθόκραιρος,5,42,10,63,63,2.4222853,10.011121
ὀρθός,15,91,21,1,52,2.0550945,7.1810865
ὀρθόω,6,191,20,56,27,1.5839942,12.24119
ὀροθύνω,7,164,20,54,87,1.1050134,12.729682
ὀρούω,20,164,20,54,87,1.0096982,12.894608
ὀρυκτός,7,132,29,14,31,3.1227953,9.03488
ὀρυμαγδός,16,111,12,5,22,2.8583,11.127981
ὀρχηθμός,5,138,12,5,5,2.872659,11.6993065
ὀρχηστύς,6,138,12,5,5,2.9188087,11.659981
ὀρύσσω,6,186,14,29,28,1.8929921,13.857469
ὀσμή,6,103,10,0,148,2.8292804,10.833888
ὀστέον,45,112,1,41,64,4.531526,12.558098
ὀτρηρός,7,-1,28,59,120,2.9319377,8.988825
ὀτρύνω,126,145,28,59,120,1.0444931,12.602138
ὀφέλλω,28,206,4,43,43,-0.33423832,11.587327
ὀφείλω,26,206,4,43,43,-0.39273345,11.527248
ὀφθαλμός,112,154,1,72,72,4.953926,12.550179
ὀφρύς,20,-1,1,72,72,5.048881,12.300765
ὀχέω,8,157,28,60,110,2.1886315,11.927313
ὀχεύς,13,-1,28,60,110,5.046932,11.6893215
ὀχθέω,29,228,20,66,32,1.2191849,11.964373
ὀψέ,19,83,31,34,113,2.930424,6.213188
ὀψίγονος,5,32,15,20,114,5.16673,8.286091
ὁδίτης,5,-1,5,15,118,6.4162006,9.091139
ὁδός,10,-1,7,47,128,2.4247859,10.652197
ὁδός2,67,-1,7,47,128,3.1574192,10.901962
ὁμαδέω,5,227,19,4,97,1.688829,11.8486
ὁμηγερής,10,1,19,4,97,1.07547,10.16013
ὁμηλικία,9,1,19,4,97,1.0736147,10.25831
ὁμιλέω,23,1,19,4,78,1.2727647,10.54269
ὁμοίιος,10,38,36,17,37,4.040983,9.355115
ὁμοκλέω,21,1,19,4,97,1.1178842,10.403123
ὁμοκλή,6,103,19,4,97,2.5589437,10.881984
ὁμοῦ,20,-1,33,33,123,2.8500538,7.2167964
ὁμός,9,1,19,4,97,1.0810342,10.145693
ὁμῆλιξ,5,1,19,4,97,1.0962024,10.229022
ὁμῶς,26,-1,33,33,123,2.8104763,7.204494
ὁπλίζω,19,-1,14,29,135,1.1106608,13.118253
ὁπλότερος,7,94,2,44,49,3.5438144,7.64326
ὁποῖος,5,125,31,34,113,3.3658974,6.163561
ὁπόσος,5,125,31,34,113,3.340947,6.1544027
ὁπότε,79,125,31,34,113,3.3152218,6.1838613
ὁπότερος,13,125,31,34,113,3.3057458,6.14655
ὁράω,97,214,9,9,58,0.8986324,11.482933
ὁρμάω,38,-1,28,60,24,0.62904745,13.527861
ὁρμή,8,168,10,0,16,1.7666618,10.360936
ὁρμίζω,5,223,14,29,28,1.1008651,13.351917
ὁρμαίνω,29,-1,20,30,130,1.4897175,12.520878
ὄβριμος,28,164,20,54,87,3.0577683,10.559556
ὄγχνη,6,59,10,0,148,5.416536,10.5119
ὄζος,19,75,20,54,132,2.9325085,10.520871
ὄθομαι,5,231,4,27,21,0.40244544,11.885555
ὄις,52,56,6,46,10,5.5720434,10.189014
ὄλβιος,14,37,2,2,69,4.4134088,8.418062
ὄλβος,10,211,16,31,7,3.5734258,11.573059
ὄλεθρος,73,-1,10,0,16,1.7359128,10.425371
ὄλλυμι,151,189,7,76,143,0.42562807,13.052854
ὄμβρος,15,13,32,65,65,3.731394,10.111975
ὄμμα,14,154,1,72,72,4.9781284,12.541597
ὄμνυμι,35,237,4,27,108,-0.018077128,11.625794
ὄνειαρ,21,129,21,71,17,4.0980544,12.430394
ὄνειδος,8,128,1,41,66,4.111929,12.442259
ὄνειρος,20,-1,9,9,58,4.1422606,11.953733
ὄνομα,20,51,21,71,17,3.6774235,6.7391467
ὄνομαι,13,-1,30,61,14,0.2518101,11.667285
ὄνυξ,5,148,1,41,64,5.119148,11.681897
ὄπις,5,-1,21,10,106,2.8598914,11.404507
ὄπισθεν,56,-1,21,1,52,1.8844383,6.741152
ὄρνις,32,56,6,46,10,5.4651904,9.993852
ὄρνυμι,232,164,20,54,87,0.9499235,13.191132
ὄρος,90,171,11,23,102,5.0945635,10.705876
ὄρχαμος,22,50,23,13,56,4.7131734,9.461267
ὄρχατος,6,50,23,13,56,4.6478367,9.500973
ὄσσα,29,154,1,72,72,5.001784,12.575663
ὄσσε,31,154,1,72,72,5.030578,12.554612
ὄσσομαι,9,235,4,27,108,0.20718858,11.777103
ὄχα,19,51,21,71,17,3.6588447,6.72837
ὄχθη,16,166,22,57,57,4.5105042,10.665166
ὄχος,61,-1,28,60,110,4.9978824,11.761656
ὄψ,25,-1,21,10,106,2.808915,11.522709
ὅθεν,13,125,31,34,113,3.2834766,6.15336
ὅθι,99,125,31,34,113,3.3026662,6.1532893
ὅμαδος,13,-1,19,4,97,3.0314507,11.3854685
ὅμιλος,87,170,23,13,56,4.7972846,10.908478
ὅμοιος,22,1,19,4,97,1.021453,10.242588
ὅπη,16,125,31,34,113,3.3565247,6.103343
ὅπλον,19,112,1,41,66,4.4701176,12.551568
ὅρκιον,30,126,4,27,108,4.2357087,12.65606
ὅρκος,33,237,4,27,108,0.00666834,11.615801
ὅρμος,6,78,22,36,8,4.5429325,10.295372
Ὀδυσσεύς,665,24,10,0,16,6.704213,8.601952
Ὀιλεύς,14,40,5,15,76,6.9247756,7.7637224
Ὀλύμπιος,41,28,2,2,69,5.8530054,8.413218
Ὀρέστης,11,17,5,15,76,6.932771,8.437474
Ὀρτίλοχος,5,98,5,15,76,7.532638,8.340039
Ὄλυμπος,96,-1,32,65,65,6.3010125,7.6088357
ὑβρίζω,5,153,13,11,93,0.8963672,11.902867
ὑβριστής,5,44,13,11,93,4.1563506,8.372699
ὑγρός,19,-1,22,57,57,3.37776,9.03628
ὑλήεις,15,-1,10,7,4,1.2953129,9.428505
ὑμέτερος,18,31,15,20,122,4.73276,7.946012
ὑμός,7,31,15,20,122,4.7051005,7.9240947
ὑπάγω,5,223,23,13,56,0.6911796,13.554777
ὑπέκ,8,-1,7,47,36,1.5531085,7.134056
ὑπένερθε,11,141,21,1,52,1.850177,6.6567287
ὑπέρβιος,8,16,2,44,134,2.7960925,7.763695
ὑπέρθυμος,27,16,2,44,134,2.8287797,7.908078
ὑπέρτερος,7,-1,2,44,134,3.3759573,7.7505684
ὑπέχω,5,-1,4,27,108,-0.1194163,11.791638
ὑπαλύσκω,5,183,7,6,116,-0.08063064,12.980801
ὑπείκω,10,184,8,74,149,0.14906228,11.447727
ὑπεκφεύγω,14,183,7,76,53,-0.12502828,13.103453
ὑπερέχω,9,-1,7,6,83,0.39546788,13.587999
ὑπερβαίνω,7,208,7,6,83,0.37941882,13.753589
ὑπερβασία,6,210,16,31,7,3.2479513,11.156174
ὑπερηνορέων,12,16,2,44,134,2.5483408,8.220916
ὑπερμενής,14,16,2,44,134,2.4488204,8.258226
ὑπερφίαλος,32,16,2,44,134,2.545698,8.175489
ὑπερῷον,19,-1,11,69,34,4.5690894,8.642995
ὑπηοῖος,5,58,21,1,52,2.452377,7.6150146
ὑπισχνέομαι,25,237,4,27,108,-0.07792912,11.742005
ὑποδέχομαι,15,184,7,6,116,-0.13843831,12.555988
ὑποδείδω,13,-1,13,11,19,0.96908903,12.0181675
ὑποδύομαι,5,196,7,76,53,0.66854215,13.825876
ὑποκρίνομαι,6,-1,4,27,108,0.17306216,11.752438
ὑπολείπω,7,142,38,38,74,-0.23320758,12.744962
ὑπολύω,6,183,7,6,116,0.031996664,13.123629
ὑπομένω,9,184,7,6,116,-0.2131524,12.673717
ὑποστρέφω,6,197,7,47,35,0.62649053,14.073472
ὑποτίθημι,8,-1,4,27,108,0.064427294,11.693825
ὑπόδρα,26,184,7,6,116,1.5232315,7.262409
ὑπότροπος,5,184,7,6,116,1.573482,7.2885976
ὑσμίνη,48,103,10,0,16,2.776153,10.792803
ὑφίστημι,19,-1,4,27,108,-0.24681625,11.878303
ὑφαίνω,24,5,37,37,136,1.4517932,12.612273
ὑφορβός,21,-1,12,5,22,6.009038,9.361845
ὑψίκομος,6,-1,21,1,52,1.8658596,9.18591
ὑψερεφής,12,-1,0,19,55,2.0283644,8.921262
ὑψηλός,56,131,0,50,1,3.2889688,9.166663
ὑψιβρεμέτης,6,63,10,63,63,1.9057373,9.225931
ὑψοῦ,9,83,31,34,113,2.8683012,6.3587923
ὑψόθεν,7,89,21,1,52,2.4670537,6.8893976
ὑψόροφος,6,-1,21,1,52,1.9694126,8.988935
ὑψόσε,23,89,21,1,52,2.534057,6.839526
ὕβρις,15,207,16,31,7,3.1720452,11.346639
ὕδωρ,101,120,22,57,57,3.6653252,12.863876
ὕλη,46,-1,10,0,16,1.7954929,10.366575
ὕπαιθα,6,141,21,1,52,1.8479625,6.6661477
ὕπατος,10,-1,23,13,56,3.4058204,7.568493
ὕπερθεν,27,-1,21,1,52,1.9197614,6.756391
ὕπνος,93,-1,12,51,51,3.46137,12.161385
ὕπτιος,15,-1,0,19,54,2.0064516,7.5739503
ὕστερον,6,-1,21,1,100,3.1035464,6.499431
ὕστερος,27,-1,21,1,100,2.8632934,6.736381
ὕψι,9,89,21,1,52,2.5873797,6.745981
ὗς,70,56,6,46,10,5.6030846,10.121946
Ὑπερίων,8,-1,5,15,76,6.0539045,8.430184
Ὑρτακίδης,5,47,5,15,76,7.4970164,8.135739
ὠθέω,43,223,7,76,53,0.93235654,13.405428
ὠκύμορος,9,41,23,62,30,2.8666086,9.831891
ὠκύπορος,12,41,23,62,30,2.7956557,9.810177
ὠκύπους,13,41,23,62,30,2.8210824,9.768103
ὠκύς,119,-1,0,50,1,2.9583592,8.651475
ὠμοθετέω,5,-1,10,7,77,1.4397207,9.8732395
ὠμός,6,146,1,41,147,3.4876552,8.837
ὠτειλή,14,163,1,8,121,4.042934,11.164815
ὤψ,6,154,1,72,72,4.947278,12.573394
ὥρα,24,18,31,79,79,3.6453748,10.238435
ὦ,230,70,31,34,131,4.1165504,6.8675942
ὦκα,71,84,21,77,3,2.8162348,6.809573
ὦμος,150,216,1,72,72,5.137131,12.170435
ὦνος,5,-1,26,28,29,3.2996738,11.895218
Ὠκεανός,30,78,22,57,57,4.7761993,9.96722
Ὠρίων,5,-1,5,15,76,6.117266,8.314088
ᾍδης,41,7,5,73,73,6.7934055,7.5810103
ᾗ,19,125,31,34,113,3.3274028,6.1845574
ῥάβδος,11,162,1,8,96,4.287748,11.504001
